Start_X,Start_Y,Start_Height,End_X,End_Y,End_Height,file_name
38111.6417089562,-650595.459425986,0,-271021.144161307,-650460.941489226,0,L210.csv
-312214.637076681,-671021.984863232,0,63600.2648236382,-670381.012557781,0,L230.csv
78259.6596637594,-690536.045594011,0,-360573.587598269,-690950.286497554,0,L250.csv
135497.714344308,-713814.521025223,0,-370025.601996156,-710515.756589779,0,L270.csv
-431498.684837294,-731584.859035278,0,133935.929823157,-730445.809308053,0,L290.csv
170926.087988309,-752051.083778457,0,-473095.749467622,-749539.042113633,0,L310.csv
184412.128381032,-769438.802760221,0,-475279.713872917,-770688.477800902,0,L330.csv
-481755.847270825,-789671.052165999,0,192595.130784703,-790174.717296483,0,L350.csv
-471231.106405771,-802059.309456428,0,224375.762457872,-800408.652873502,0,L360.csv
-478056.467628869,-809324.184911393,0,165035.623223616,-810408.025319325,0,L370.csv
235977.588385305,-821067.351199663,0,-475206.00091031,-820343.697793745,0,L380.csv
239811.380221259,-829769.422482493,0,-489404.046974085,-830509.697915429,0,L390.csv
221130.939349591,-840958.847887294,0,-490246.395197761,-840446.199471039,0,L400.csv
-506578.921288006,-850990.436793267,0,260358.4266741,-850499.187691802,0,L410.csv
268091.255984225,-862889.781383092,0,-503218.345218985,-860739.075232511,0,L420.csv
291959.30148673,-872397.947072058,0,-512054.667149246,-870542.614748463,0,L430.csv
-510212.239986527,-877958.668193007,0,274044.399585574,-880231.755788506,0,L440.csv
-570462.684471163,-890635.893436627,0,301943.278051668,-890410.167285741,0,L450.csv
-570266.578716244,-899482.476890954,0,309665.910542673,-900269.215838527,0,L460.csv
309671.008206512,-910746.159491388,0,-572024.735098556,-910594.59883336,0,L470.csv
312104.144297101,-920226.708055886,0,-575965.28614802,-920349.780223135,0,L480.csv
321294.802424084,-929818.408247867,0,-579124.356235149,-930460.187953554,0,L490.csv
-579893.745425138,-939284.265148609,0,320379.467629832,-940173.876134347,0,L500.csv
-583743.472178183,-950494.645244804,0,331928.109073073,-952662.810530909,0,L510.csv
335559.837569815,-959340.648574724,0,-571316.268314262,-960364.383368199,0,L520.csv
-574334.509685401,-970333.72457562,0,332536.759561848,-970366.808176545,0,L530.csv
-579485.865101681,-980711.400940377,0,325045.373960219,-980433.553858877,0,L540.csv
374252.003703644,-991709.153706892,0,-572410.143997427,-990149.214834701,0,L550.csv
361573.570483566,-999169.521035849,0,-262432.666409306,-1000441.4937976,0,L560.csv
-552119.495677441,-1011629.65212588,0,356289.561237971,-1010419.60591783,0,L570.csv
350006.280600299,-1020729.0758174,0,-540709.474536464,-1020169.05194076,0,L580.csv
354299.607338071,-1030001.12447588,0,-548665.464912893,-1030561.55935766,0,L590.csv
395574.695144469,-1035595.56267994,0,-553088.076764224,-1040850.96191767,0,L600.csv
384316.450610105,-1050903.88823475,0,-535634.935506447,-1050560.6462116,0,L610.csv
-530995.200493111,-1059133.33903204,0,379846.722560155,-1060251.45434192,0,L620.csv
-553752.549233451,-1069261.20397712,0,380274.984657127,-1070507.21322747,0,L630.csv
387580.089350292,-1078033.30533092,0,-526032.786176276,-1080339.32543268,0,L640.csv
386191.22295326,-1090787.26024014,0,-525167.357364708,-1089977.65603709,0,L650.csv
-546782.752103795,-1100244.38410534,0,379083.223243363,-1100555.54127831,0,L660.csv
-551540.935983846,-1111618.11815257,0,375898.89036335,-1110335.83494305,0,L670.csv
394219.355072338,-1120170.31843612,0,-554324.129933413,-1120559.15468761,0,L680.csv
-554912.564449456,-1130024.25370879,0,363740.410338825,-1130608.29720581,0,L690.csv
-544199.003292732,-1139721.09538924,0,378577.480662762,-1140523.91839944,0,L700.csv
381362.971518287,-1153010.70219986,0,-544662.536600456,-1150376.53740911,0,L710.csv
364149.442949603,-1162018.38329943,0,-534594.315047709,-1160517.28178477,0,L720.csv
-530967.030625311,-1180851.36993489,0,341219.431057463,-1180583.0604956,0,L740.csv
331342.563350413,-1187952.20938692,0,-507242.838313287,-1190285.94822258,0,L750.csv
327717.075671128,-1199669.9338986,0,-528473.575965518,-1200501.09679009,0,L760.csv
-172288.57078071,-1209969.2938101,0,-112959.249625512,-1210180.24136644,0,L770.csv
-522960.789961656,-1221002.32229524,0,286906.896270033,-1220628.85157515,0,L780.csv
-301816.982905712,-1230645.04719664,0,310909.388337799,-1231598.02004252,0,L790.csv
341153.039187307,-1240127.7547842,0,-284286.623397665,-1239713.43532984,0,L800.csv
-342212.998871567,-1251024.97019946,0,280965.614575991,-1250555.20973204,0,L810.csv
277082.088055512,-1260692.43243631,0,-265296.61853511,-1259390.06221928,0,L820.csv
334661.092557886,-1270720.05857046,0,-195564.479113681,-1270535.43462666,0,L830.csv
-172223.19947843,-1280564.36199832,0,328204.054955627,-1280555.1882595,0,L840.csv
-158468.724871485,-1290573.62381076,0,294282.973927475,-1290566.18373829,0,L850.csv
-124688.834481491,-1300064.74777264,0,276273.487174169,-1300423.64980837,0,L860.csv
-95236.0279831342,-1310960.75012081,0,282476.497537433,-1310344.99484508,0,L870.csv
263963.567544254,-1319450.12291271,0,-99197.092089384,-1319109.35315658,0,L880.csv
-44307.6854842548,-1331159.40184568,0,244608.635264284,-1330468.26906283,0,L890.csv
238951.47011394,-1340689.70024354,0,-15332.3465726734,-1340627.30404717,0,L900.csv
291653.431059742,-1351329.2200666,0,17490.3895041634,-1350648.16082785,0,L910.csv
-470455.671907926,-737741.203291571,0,-471184.630120743,-1256534.63758129,0,T1000.csv
-364039.027696694,-693328.769414756,0,-363794.334042889,-1250393.51558199,0,T1020.csv
-273473.511518138,-1254860.28118645,0,-273460.999333095,-641223.469371801,0,T1030.csv
-218053.874835528,-456302.532001546,0,-218393.22481325,-1275396.87891892,0,T1040.csv
-162066.592602857,-496627.237257426,0,-163277.127369634,-1302276.30993629,0,T1050.csv
-108330.12973655,-1308699.12010541,0,-108443.293416279,-575609.904041052,0,T1060.csv
-53428.0838621817,-604430.674213408,0,-53448.8994653011,-1340750.17156985,0,T1070.csv
1596.53323632137,-1364700.88367768,0,1640.33153315824,-632716.683156644,0,T1080.csv
56180.3888949575,-650805.660492005,0,56743.5814158505,-1379248.97655065,0,T1090.csv
111111.984038719,-1389120.36840802,0,111636.459224786,-728899.960969688,0,T1100.csv
166279.934687995,-744023.511430283,0,166809.604231847,-1378428.0841195,0,T1110.csv
