X_Scaled,Y_Scaled,Weird_Depth_Scaled,CMI_Depth_Scaled,Zeros,CMI_Depth,CMI_FileNum,CMI_SurfElev,CMI_Thickness,DICE_FileNum,DICE_IceBase,DICE_SurfElev,DICE_Thickness,Dice_Weird_Depth,Dice_Weird_FileNum,Dice_Weird_SurfElev,Dice_Weird_Thick,SIR_IceBase,SIR_SurfElev_clean,SIR_Thickness,SurfHell_Edit_lidar_edit,The_Weird,Weird_Depth,Weird_FileNum,Weird_SurfElev,X_EPSG_3031,Y_EPSG_3031
-16.03872114,-128.0171048,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-160387.2114,-1280171.048
-16.03020253,-128.0170707,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-160302.0253,-1280170.707
-16.02168364,-128.0170338,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-160216.8364,-1280170.338
-16.0131657,-128.0169957,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-160131.657,-1280169.957
-16.00464894,-128.0169593,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-160046.4894,-1280169.593
-15.9961331,-128.016926,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-159961.331,-1280169.26
-15.98761848,-128.0168963,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-159876.1848,-1280168.963
-15.97910565,-128.0168686,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-159791.0565,-1280168.686
-15.97059392,-128.0168423,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-159705.9392,-1280168.423
-15.96208301,-128.0168169,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-159620.8301,-1280168.169
-15.95357238,-128.0167908,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-159535.7238,-1280167.908
-15.9450615,-128.0167608,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-159450.615,-1280167.608
-15.93654934,-128.0167258,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-159365.4934,-1280167.258
-15.92803562,-128.0166857,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-159280.3562,-1280166.857
-15.91952122,-128.0166427,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-159195.2122,-1280166.427
-15.91100528,-128.0166009,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-159110.0528,-1280166.009
-15.90248684,-128.0165605,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-159024.8684,-1280165.605
-15.89396578,-128.016522,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-158939.6578,-1280165.22
-15.88544342,-128.0164863,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-158854.4342,-1280164.863
-15.87692073,-128.016455,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-158769.2073,-1280164.55
-15.86839827,-128.0164275,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-158683.9827,-1280164.275
-15.85987628,-128.0164038,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-158598.7628,-1280164.038
-15.85135443,-128.0163809,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-158513.5443,-1280163.809
-15.84283246,-128.0163576,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-158428.3246,-1280163.576
-15.83430906,-128.0163343,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-158343.0906,-1280163.343
-15.82578375,-128.0163088,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-158257.8375,-1280163.088
-15.81725662,-128.0162804,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-158172.5662,-1280162.804
-15.80872803,-128.0162498,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-158087.2803,-1280162.498
-15.80019792,-128.0162159,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-158001.9792,-1280162.159
-15.79166617,-128.0161806,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-157916.6617,-1280161.806
-15.78313313,-128.0161454,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-157831.3313,-1280161.454
-15.77459876,-128.0161109,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-157745.9876,-1280161.109
-15.76606279,-128.0160806,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-157660.6279,-1280160.806
-15.75752646,-128.0160578,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-157575.2646,-1280160.578
-15.74898908,-128.016043,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-157489.8908,-1280160.43
-15.74045106,-128.0160337,-9999,-9999,0,,,,,,,,,,,,,,,,,,,,,-157404.5106,-1280160.337
