X_Scale,Y_Scale,Weird_na,Weird_Depth_na,The_Weird,Weird_Depth,Weird_FileNum,Weird_SurfElev,X_EPSG_3031,Y_EPSG_3031,
-8.859180269,-131.0255413,-9999,-9999,,,,,,-88591.80269,-1310255.413
-8.850152255,-131.0254406,-9999,-9999,,,,,,-88501.52255,-1310254.406
-8.841104172,-131.025333,-9999,-9999,,,,,,-88411.04172,-1310253.33
-8.832042028,-131.025229,-9999,-9999,,,,,,-88320.42028,-1310252.29
-8.822966543,-131.0251358,-9999,-9999,,,,,,-88229.66543,-1310251.358
-8.813874795,-131.025063,-9999,-9999,,,,,,-88138.74795,-1310250.63
-8.804779192,-131.0250218,-9999,-9999,,,,,,-88047.79192,-1310250.218
-8.795676381,-131.0250065,-9999,-9999,,,,,,-87956.76381,-1310250.065
-8.786556277,-131.0249912,-9999,-9999,,,,,,-87865.56277,-1310249.912
-8.777423275,-131.0249607,-9999,-9999,,,,,,-87774.23275,-1310249.607
-8.768285739,-131.0249246,-9999,-9999,,,,,,-87682.85739,-1310249.246
-8.759142561,-131.0248836,-9999,-9999,,,,,,-87591.42561,-1310248.836
-8.749985802,-131.0248096,-9999,-9999,,,,,,-87499.85802,-1310248.096
-8.740819481,-131.0247063,-9999,-9999,,,,,,-87408.19481,-1310247.063
-8.73164865,-131.02459,-9999,-9999,,,,,,-87316.4865,-1310245.9
-8.722470916,-131.0244555,-9999,-9999,,,,,,-87224.70916,-1310244.555
-8.713280428,-131.0243076,-9999,-9999,,,,,,-87132.80428,-1310243.076
-8.70408331,-131.0241637,-9999,-9999,,,,,,-87040.8331,-1310241.637
-8.694893349,-131.0240413,-9999,-9999,,,,,,-86948.93349,-1310240.413
-8.685715093,-131.0239415,-9999,-9999,,,,,,-86857.15093,-1310239.415
-8.676541678,-131.0238643,-9999,-9999,,,,,,-86765.41678,-1310238.643
-8.667377971,-131.0238155,-9999,-9999,,,,,,-86673.77971,-1310238.155
-8.65822817,-131.0237961,-9999,-9999,,,,,,-86582.2817,-1310237.961
-8.649077965,-131.0237941,-9999,-9999,,,,,,-86490.77965,-1310237.941
-8.639930071,-131.0237847,-9999,-9999,,,,,,-86399.30071,-1310237.847
-8.630793817,-131.0237808,-9999,-9999,,,,,,-86307.93817,-1310237.808
-8.621664509,-131.0238063,-9999,-9999,,,,,,-86216.64509,-1310238.063
-8.612530043,-131.0238345,-9999,-9999,,,,,,-86125.30043,-1310238.345
-8.603392149,-131.0238457,-9999,-9999,,,,,,-86033.92149,-1310238.457
-8.594254989,-131.0238268,-9999,-9999,,,,,,-85942.54989,-1310238.268
-8.585115886,-131.0237812,-9999,-9999,,,,,,-85851.15886,-1310237.812
-8.575973672,-131.0237316,-9999,-9999,,,,,,-85759.73672,-1310237.316
-8.566830487,-131.0236928,-9999,-9999,,,,,,-85668.30487,-1310236.928
-8.557688495,-131.0236641,-9999,-9999,,,,,,-85576.88495,-1310236.641
-8.548545394,-131.0236368,-9999,-9999,,,,,,-85485.45394,-1310236.368
-8.539400513,-131.0236088,-9999,-9999,,,,,,-85394.00513,-1310236.088
-8.53025933,-131.0235861,-9999,-9999,,,,,,-85302.5933,-1310235.861
-8.521122794,-131.0235693,-9999,-9999,,,,,,-85211.22794,-1310235.693
-8.51198975,-131.023567,-9999,-9999,,,,,,-85119.8975,-1310235.67
-8.502861104,-131.0235786,-9999,-9999,,,,,,-85028.61104,-1310235.786
-8.493731344,-131.0236126,-9999,-9999,,,,,,-84937.31344,-1310236.126
-8.484601326,-131.0236585,-9999,-9999,,,,,,-84846.01326,-1310236.585
-8.475465665,-131.0236804,-9999,-9999,,,,,,-84754.65665,-1310236.804
-8.466318924,-131.023679,-9999,-9999,,,,,,-84663.18924,-1310236.79
-8.457168056,-131.0236671,-9999,-9999,,,,,,-84571.68056,-1310236.671
-8.448015557,-131.0236692,-9999,-9999,,,,,,-84480.15557,-1310236.692
-8.438857973,-131.0236816,-9999,-9999,,,,,,-84388.57973,-1310236.816
-8.42969147,-131.023676,-9999,-9999,,,,,,-84296.9147,-1310236.76
-8.420521145,-131.0236524,-9999,-9999,,,,,,-84205.21145,-1310236.524
-8.411348759,-131.0236185,-9999,-9999,,,,,,-84113.48759,-1310236.185
-8.402175962,-131.0235794,-9999,-9999,,,,,,-84021.75962,-1310235.794
-8.392998154,-131.0235296,-9999,-9999,,,,,,-83929.98154,-1310235.296
-8.383820555,-131.0234702,-9999,-9999,,,,,,-83838.20555,-1310234.702
-8.37464469,-131.0234107,-9999,-9999,,,,,,-83746.4469,-1310234.107
-8.365468671,-131.0233543,-9999,-9999,,,,,,-83654.68671,-1310233.543
-8.35629767,-131.0233065,-9999,-9999,,,,,,-83562.9767,-1310233.065
-8.347136864,-131.0232613,-9999,-9999,,,,,,-83471.36864,-1310232.613
-8.337983496,-131.0232134,-9999,-9999,,,,,,-83379.83496,-1310232.134
-8.328837365,-131.0231604,-9999,-9999,,,,,,-83288.37365,-1310231.604
-8.319696633,-131.0231052,-9999,-9999,,,,,,-83196.96633,-1310231.052
-8.310563587,-131.0230498,-9999,-9999,,,,,,-83105.63587,-1310230.498
-8.301442881,-131.0229952,-9999,-9999,,,,,,-83014.42881,-1310229.952
-8.292330994,-131.0229365,-9999,-9999,,,,,,-82923.30994,-1310229.365
-8.283227932,-131.0228677,-9999,-9999,,,,,,-82832.27932,-1310228.677
-8.274137517,-131.0227894,-9999,-9999,,,,,,-82741.37517,-1310227.894
-8.265058858,-131.0227076,-9999,-9999,,,,,,-82650.58858,-1310227.076
-8.2559885,-131.0226277,-9999,-9999,,,,,,-82559.885,-1310226.277
-8.246923879,-131.0225474,-9999,-9999,,,,,,-82469.23879,-1310225.474
-8.237866703,-131.0224662,-9999,-9999,,,,,,-82378.66703,-1310224.662
-8.228818567,-131.0223891,-9999,-9999,,,,,,-82288.18567,-1310223.891
-8.219775186,-131.0223221,-9999,-9999,,,,,,-82197.75186,-1310223.221
-8.210729168,-131.0222631,-9999,-9999,,,,,,-82107.29168,-1310222.631
-8.201680711,-131.0222049,-9999,-9999,,,,,,-82016.80711,-1310222.049
-8.192631595,-131.0221429,-9999,-9999,,,,,,-81926.31595,-1310221.429
-8.183582092,-131.0220788,-9999,-9999,,,,,,-81835.82092,-1310220.788
-8.174531621,-131.0220132,-9999,-9999,,,,,,-81745.31621,-1310220.132
-8.165480377,-131.0219446,-9999,-9999,,,,,,-81654.80377,-1310219.446
-8.156428165,-131.0218712,-9999,-9999,,,,,,-81564.28165,-1310218.712
-8.147375238,-131.0217925,-9999,-9999,,,,,,-81473.75238,-1310217.925
-8.138322231,-131.0217117,-9999,-9999,,,,,,-81383.22231,-1310217.117
-8.12927023,-131.021632,-9999,-9999,,,,,,-81292.7023,-1310216.32
-8.120219625,-131.0215564,-9999,-9999,,,,,,-81202.19625,-1310215.564
-8.111169738,-131.0214862,-9999,-9999,,,,,,-81111.69738,-1310214.862
-8.10212033,-131.0214201,-9999,-9999,,,,,,-81021.2033,-1310214.201
-8.093071816,-131.02136,-9999,-9999,,,,,,-80930.71816,-1310213.6
-8.084024132,-131.0213058,-9999,-9999,,,,,,-80840.24132,-1310213.058
-8.074977498,-131.0212522,-9999,-9999,,,,,,-80749.77498,-1310212.522
-8.065931064,-131.0211959,-9999,-9999,,,,,,-80659.31064,-1310211.959
-8.056886144,-131.0211367,-9999,-9999,,,,,,-80568.86144,-1310211.367
-8.047843984,-131.0210738,-9999,-9999,,,,,,-80478.43984,-1310210.738
-8.038802027,-131.0210072,-9999,-9999,,,,,,-80388.02027,-1310210.072
-8.029760995,-131.0209384,-9999,-9999,,,,,,-80297.60995,-1310209.384
-8.020723243,-131.0208708,-9999,-9999,,,,,,-80207.23243,-1310208.708
-8.011687686,-131.0208055,-9999,-9999,,,,,,-80116.87686,-1310208.055
-8.002652457,-131.0207402,-9999,-9999,,,,,,-80026.52457,-1310207.402
-7.993618415,-131.0206739,-9999,-9999,,,,,,-79936.18415,-1310206.739
-7.984585617,-131.0206076,-9999,-9999,,,,,,-79845.85617,-1310206.076
-7.975553976,-131.0205454,-9999,-9999,,,,,,-79755.53976,-1310205.454
-7.96652335,-131.0204882,-9999,-9999,,,,,,-79665.2335,-1310204.882
-7.957494794,-131.0204296,-9999,-9999,,,,,,-79574.94794,-1310204.296
-7.948468897,-131.0203684,-9999,-9999,,,,,,-79484.68897,-1310203.684
-7.939444852,-131.0203073,-9999,-9999,,,,,,-79394.44852,-1310203.073
-7.930420489,-131.0202456,-9999,-9999,,,,,,-79304.20489,-1310202.456
-7.921394421,-131.0201827,-9999,-9999,,,,,,-79213.94421,-1310201.827
-7.912366971,-131.020114,-9999,-9999,,,,,,-79123.66971,-1310201.14
-7.903338099,-131.0200392,-9999,-9999,,,,,,-79033.38099,-1310200.392
-7.894307155,-131.0199623,-9999,-9999,,,,,,-78943.07155,-1310199.623
-7.885273273,-131.0198881,-9999,-9999,,,,,,-78852.73273,-1310198.881
-7.876237458,-131.0198194,-9999,-9999,,,,,,-78762.37458,-1310198.194
-7.867200889,-131.0197576,-9999,-9999,,,,,,-78672.00889,-1310197.576
-7.858162035,-131.0197011,-9999,-9999,,,,,,-78581.62035,-1310197.011
-7.849118133,-131.0196463,-9999,-9999,,,,,,-78491.18133,-1310196.463
-7.840068551,-131.0195875,-9999,-9999,,,,,,-78400.68551,-1310195.875
-7.83101432,-131.0195243,-9999,-9999,,,,,,-78310.1432,-1310195.243
-7.821957325,-131.0194616,-9999,-9999,,,,,,-78219.57325,-1310194.616
-7.812897522,-131.0194005,-9999,-9999,,,,,,-78128.97522,-1310194.005
-7.803833372,-131.0193394,-9999,-9999,,,,,,-78038.33372,-1310193.394
-7.794764278,-131.0192751,-9999,-9999,,,,,,-77947.64278,-1310192.751
-7.785690335,-131.0192053,-9999,-9999,,,,,,-77856.90335,-1310192.053
-7.776610689,-131.0191288,-9999,-9999,,,,,,-77766.10689,-1310191.288
-7.767524602,-131.0190495,-9999,-9999,,,,,,-77675.24602,-1310190.495
-7.758433011,-131.0189732,-9999,-9999,,,,,,-77584.33011,-1310189.732
-7.749337098,-131.0189012,-9999,-9999,,,,,,-77493.37098,-1310189.012
-7.740235833,-131.0188314,-9999,-9999,,,,,,-77402.35833,-1310188.314
-7.73112814,-131.0187623,-9999,-9999,,,,,,-77311.2814,-1310187.623
-7.722015233,-131.0186954,-9999,-9999,,,,,,-77220.15233,-1310186.954
-7.712898363,-131.0186331,-9999,-9999,,,,,,-77128.98363,-1310186.331
-7.703777485,-131.0185745,-9999,-9999,,,,,,-77037.77485,-1310185.745
-7.694651177,-131.0185151,-9999,-9999,,,,,,-76946.51177,-1310185.151
-7.685518573,-131.0184514,-9999,-9999,,,,,,-76855.18573,-1310184.514
