LineNum,LineFull,unixTime,UTCDate,UTCsod,UTCTime,Latitude,Longitude,X_EPSG_3031,Y_EPSG_3031,DICE_SurfElev,DICE_Thickness,DICE_IceBase,DICE_FileNum
L870,L870:2005,1480389110.79,2016/11/29,11510.79,03:11:51,-77.9482762286,-175.844990977,-95213.4192527122,-1310649.53220443,,,,
L870,L870:2005,1480389111,2016/11/29,11511,03:11:51,-77.9482963121,-175.845803063,-95194.6828887475,-1310648.68192057,,,,
L870,L870:2005,1480389112,2016/11/29,11512,03:11:52,-77.9483900131,-175.849670742,-95105.4642883513,-1310644.8421799,,,,
L870,L870:2005,1480389113,2016/11/29,11513,03:11:53,-77.9484816853,-175.853535698,-95016.3250381266,-1310641.214061,,,,
L870,L870:2005,1480389114,2016/11/29,11514,03:11:54,-77.948572865,-175.857395889,-94927.2996163128,-1310637.6259294,,,,
L870,L870:2005,1480389115,2016/11/29,11515,03:11:55,-77.9486638574,-175.861252335,-94838.3622602708,-1310634.04606853,,,,
L870,L870:2005,1480389116,2016/11/29,11516,03:11:56,-77.9487548225,-175.865107088,-94749.4647595331,-1310630.46036503,,,,
L870,L870:2005,1480389117,2016/11/29,11517,03:11:57,-77.948846328,-175.868962045,-94660.5592292262,-1310626.80978132,,,,
L870,L870:2005,1480389118,2016/11/29,11518,03:11:58,-77.9489393087,-175.872816857,-94571.6462768951,-1310622.99135134,,,,
L870,L870:2005,1480389119,2016/11/29,11519,03:11:59,-77.9490336849,-175.87667027,-94482.7552496239,-1310619.01173526,,,,
L870,L870:2005,1480389120,2016/11/29,11520,03:12:00,-77.94912918,-175.88052204,-94393.8939417742,-1310614.90083175,,,,
L870,L870:2005,1480389121,2016/11/29,11521,03:12:01,-77.9492239905,-175.884372823,-94305.061586433,-1310610.85726614,,,,
L870,L870:2005,1480389122,2016/11/29,11522,03:12:02,-77.9493200481,-175.888221235,-94216.2746167179,-1310606.66718591,,,,
L870,L870:2005,1480389123,2016/11/29,11523,03:12:03,-77.9494202797,-175.892064691,-94127.5691653785,-1310602.00576369,,,,
L870,L870:2005,1480389124,2016/11/29,11524,03:12:04,-77.9495256252,-175.89590262,-94038.9509978853,-1310596.76912923,,,,
L870,L870:2005,1480389125,2016/11/29,11525,03:12:05,-77.9496349291,-175.899737213,-93950.3791814194,-1310591.08745889,,,,
L870,L870:2005,1480389126,2016/11/29,11526,03:12:06,-77.9497501201,-175.903565799,-93861.8997690526,-1310584.7451289,,,,
L870,L870:2005,1480389127,2016/11/29,11527,03:12:07,-77.9498712122,-175.907387844,-93773.5249934252,-1310577.73975094,,,,
L870,L870:2005,1480389128,2016/11/29,11528,03:12:08,-77.9499989772,-175.911202851,-93685.2603069703,-1310569.98599499,,,,
L870,L870:2005,1480389129,2016/11/29,11529,03:12:09,-77.9501343992,-175.915009454,-93597.1294002644,-1310561.37385871,,,,
L870,L870:2005,1480389130,2016/11/29,11530,03:12:10,-77.9502772643,-175.918806738,-93509.1550380572,-1310551.92530608,,,,
L870,L870:2005,1480389131,2016/11/29,11531,03:12:11,-77.9504251184,-175.922598393,-93421.2721381,-1310541.91519864,,,,
L870,L870:2005,1480389132,2016/11/29,11532,03:12:12,-77.9505761267,-175.926386612,-93333.4449589277,-1310531.54810546,,,,
L870,L870:2005,1480389133,2016/11/29,11533,03:12:13,-77.9507312876,-175.930169314,-93245.7133848485,-1310520.7112893,,,,
L870,L870:2005,1480389134,2016/11/29,11534,03:12:14,-77.9508901375,-175.933945847,-93158.0960260808,-1310509.4544912,,,,
L870,L870:2005,1480389135,2016/11/29,11535,03:12:15,-77.9510523968,-175.937716633,-93070.5854822061,-1310497.80904669,,,,
L870,L870:2005,1480389136,2016/11/29,11536,03:12:16,-77.9512150705,-175.941484144,-92983.148561043,-1310486.1070573,,,,
L870,L870:2005,1480389137,2016/11/29,11537,03:12:17,-77.9513763881,-175.945248779,-92895.7898917442,-1310474.54312353,,,,
L870,L870:2005,1480389138,2016/11/29,11538,03:12:18,-77.9515375986,-175.949011908,-92808.4684197794,-1310462.98266489,,,,
L870,L870:2005,1480389139,2016/11/29,11539,03:12:19,-77.9517005126,-175.952772082,-92721.2032502903,-1310451.22501048,,,,
L870,L870:2005,1480389140,2016/11/29,11540,03:12:20,-77.9518635935,-175.956529311,-92634.0060882967,-1310439.43850772,,,,
L870,L870:2005,1480389141,2016/11/29,11541,03:12:21,-77.9520267637,-175.96028735,-92546.7916546442,-1310427.63773567,,,,
L870,L870:2005,1480389142,2016/11/29,11542,03:12:22,-77.9521880901,-175.964045809,-92459.5838127247,-1310416.03381601,,,,
L870,L870:2005,1480389143,2016/11/29,11543,03:12:23,-77.9523451865,-175.967801249,-92372.4796020811,-1310404.88259432,,,,
L870,L870:2005,1480389144,2016/11/29,11544,03:12:24,-77.9525008599,-175.971554522,-92285.4377894638,-1310393.87797728,,,,
L870,L870:2005,1480389145,2016/11/29,11545,03:12:25,-77.9526575317,-175.97530901,-92198.3623325805,-1310382.76017197,,,,
L870,L870:2005,1480389146,2016/11/29,11546,03:12:26,-77.9528175691,-175.979063391,-92111.2652605393,-1310371.2677352,,,,
L870,L870:2005,1480389147,2016/11/29,11547,03:12:27,-77.9529810029,-175.982812935,-92024.2545847171,-1310359.38969194,,,,
L870,L870:2005,1480389148,2016/11/29,11548,03:12:28,-77.9531459381,-175.986561842,-91937.2488868812,-1310347.34038551,,,,
L870,L870:2005,1480389149,2016/11/29,11549,03:12:29,-77.953308812,-175.990313721,-91850.1930197028,-1310335.5158777,,,,
