__X_EPSG_3031,__Y_EPSG_3031,CMI_Depth,CMI_FileNum,CMI_SurfElev,CMI_Thickness,DICE_FileNum,DICE_IceBase,DICE_SurfElev,DICE_Thickness,H_Ell,Heading,Latitude,LineFull,LineNum,Longitude,NS,PDOP,Pitch,Roll,SIR_FileNum,SIR_IceBase,SIR_SurfElev_clean,SIR_Thickness,SurfHell_Edit_lidar_edit,The_Weird,unix_sec,unixTime,UTCDate,UTCsod,UTCTime,Weird_Depth,Weird_FileNum,Weird_SurfElev,X_EPSG_3031,Y_EPSG_3031
-93619.3543375,-1310872.57084161,,,,,,,,,892.261,-99.031291,-77.9501343992,L870:2005,L870,-175.915009454,9,2.53,4.557618,-6.859665,,,,,,,1480389129,1480389129,2016/11/29,11529,03:12:09,,,,-93597.1294002644,-1310561.37385871
-93531.3590854996,-1310863.12004539,,,,,,,,,892.418,-99.341243,-77.9502772643,L870:2005,L870,-175.918806738,9,2.54,4.33709,-5.619824,,,,,,,1480389130,1480389130,2016/11/29,11530,03:12:10,,,,-93509.1550380572,-1310551.92530608
-93443.4553174672,-1310853.10756102,,,,,,,,,892.512,-99.622329,-77.9504251184,L870:2005,L870,-175.922598393,9,2.54,4.179049,-4.820097,,,,,,,1480389131,1480389131,2016/11/29,11531,03:12:11,,,,-93421.2721381,-1310541.91519864
-93355.6072834507,-1310842.73800614,,,,,,,,,892.325,-100.094843,-77.9505761267,L870:2005,L870,-175.926386612,9,2.54,4.372111,-4.776404,,,,,,,1480389132,1480389132,2016/11/29,11532,03:12:12,,,,-93333.4449589277,-1310531.54810546
-93267.8548772292,-1310831.89861674,,,,,,,,,892.14,-100.425654,-77.9507312876,L870:2005,L870,-175.930169314,9,2.54,4.495708,-4.204415,,,,,,,1480389133,1480389133,2016/11/29,11533,03:12:13,,,,-93245.7133848485,-1310520.7112893
-93180.2167134399,-1310820.63914568,,,,,,,,,891.982,-100.557874,-77.9508901375,L870:2005,L870,-175.933945847,9,2.54,4.460011,-4.022862,,,,,,,1480389134,1480389134,2016/11/29,11534,03:12:14,,,,-93158.0960260808,-1310509.4544912
-93092.6853899071,-1310808.99093593,,,,,,,,,891.492,-100.457855,-77.9510523968,L870:2005,L870,-175.937716633,9,2.54,4.621715,-2.49926,,,,,,,1480389135,1480389135,2016/11/29,11535,03:12:15,,,,-93070.5854822061,-1310497.80904669
-93005.2277065678,-1310797.28616786,,,,,,,,,891.241,-100.299167,-77.9512150705,L870:2005,L870,-175.941484144,9,2.54,4.678906,-2.024081,,,,,,,1480389136,1480389136,2016/11/29,11536,03:12:16,,,,-92983.148561043,-1310486.1070573
-92917.8482936741,-1310785.7194882,,,,,,,,,891.087,-100.313425,-77.9513763881,L870:2005,L870,-175.945248779,9,2.54,4.471406,-2.391445,,,,,,,1480389137,1480389137,2016/11/29,11537,03:12:17,,,,-92895.7898917442,-1310474.54312353
-92830.5060869469,-1310774.15628449,,,,,,,,,890.522,-100.386491,-77.9515375986,L870:2005,L870,-175.949011908,9,2.54,4.605953,-3.149828,,,,,,,1480389138,1480389138,2016/11/29,11538,03:12:18,,,,-92808.4684197794,-1310462.98266489
-92743.2201960648,-1310762.39583818,,,,,,,,,890.351,-100.290585,-77.9517005126,L870:2005,L870,-175.952772082,9,2.54,4.603756,-2.435364,,,,,,,1480389139,1480389139,2016/11/29,11539,03:12:19,,,,-92721.2032502903,-1310451.22501048
-92656.0023288266,-1310750.60653668,,,,,,,,,890.268,-100.134977,-77.9518635935,L870:2005,L870,-175.956529311,9,2.54,4.257955,-1.707443,,,,,,,1480389140,1480389140,2016/11/29,11540,03:12:20,,,,-92634.0060882967,-1310439.43850772
-92568.7671858283,-1310738.8029625,,,,,,,,,889.398,-99.759616,-77.9520267637,L870:2005,L870,-175.96028735,9,2.54,4.617002,-1.252578,,,,,,,1480389141,1480389141,2016/11/29,11541,03:12:21,,,,-92546.7916546442,-1310427.63773567
-92481.5386361282,-1310727.19628745,,,,,,,,,888.394,-99.211315,-77.9521880901,L870:2005,L870,-175.964045809,9,2.54,5.078304,-0.879857,,,,,,,1480389142,1480389142,2016/11/29,11542,03:12:22,,,,-92459.5838127247,-1310416.03381601
-92394.4137423118,-1310716.04241787,,,,,,,,,887.826,-99.116055,-77.9523451865,L870:2005,L870,-175.967801249,9,2.54,4.880674,-2.619453,,,,,,,1480389143,1480389143,2016/11/29,11543,03:12:23,,,,-92372.4796020811,-1310404.88259432
-92307.3512613381,-1310705.03518775,,,,,,,,,887.827,-99.325975,-77.9525008599,L870:2005,L870,-175.971554522,9,2.54,4.25311,-3.70689,,,,,,,1480389144,1480389144,2016/11/29,11544,03:12:24,,,,-92285.4377894638,-1310393.87797728
-92220.2551281096,-1310693.91474248,,,,,,,,,887.487,-99.827871,-77.9526575317,L870:2005,L870,-175.97530901,9,2.54,4.256148,-4.087971,,,,,,,1480389145,1480389145,2016/11/29,11545,03:12:25,,,,-92198.3623325805,-1310382.76017197
-92133.1373745904,-1310682.41957679,,,,,,,,,887.139,-100.336867,-77.9528175691,L870:2005,L870,-175.979063391,9,2.54,4.671166,-3.279167,,,,,,,1480389146,1480389146,2016/11/29,11546,03:12:26,,,,-92111.2652605393,-1310371.2677352
-92046.1060378054,-1310670.53871306,,,,,,,,,887.003,-100.631906,-77.9529810029,L870:2005,L870,-175.982812935,9,2.54,4.516871,-1.348134,,,,,,,1480389147,1480389147,2016/11/29,11547,03:12:27,,,,-92024.2545847171,-1310359.38969194
-91959.0796801888,-1310658.48654547,,,,,,,,,886.424,-100.498887,-77.9531459381,L870:2005,L870,-175.986561842,9,2.54,4.685217,1.402856,,,,,,,1480389148,1480389148,2016/11/29,11548,03:12:28,,,,-91937.2488868812,-1310347.34038551
-91872.0031413168,-1310646.6592299,,,,,,,,,885.655,-99.724241,-77.953308812,L870:2005,L870,-175.990313721,9,2.54,4.896515,3.961025,,,,,,,1480389149,1480389149,2016/11/29,11549,03:12:29,,,,-91850.1930197028,-1310335.5158777
-91784.8685884232,-1310635.57901835,,,,,,,,,885.211,-98.558505,-77.9534648864,L870:2005,L870,-175.994070502,9,2.54,4.632476,6.283218,,,,,,,1480389150,1480389150,2016/11/29,11550,03:12:30,,,,-91763.0791522751,-1310324.43829655
-91697.5238061456,-1310625.79172955,,,,,,,,,884.666,-97.223992,-77.9536093007,L870:2005,L870,-175.997840462,9,2.54,4.561516,7.443253,,,,,,,1480389151,1480389151,2016/11/29,11551,03:12:31,,,,-91675.7551053713,-1310314.65333123
-91609.9431587097,-1310617.65952105,,,,,,,,,884.039,-95.931803,-77.9537387815,L870:2005,L870,-176.001625807,9,2.54,4.87082,7.394771,,,,,,,1480389152,1480389152,2016/11/29,11552,03:12:32,,,,-91588.1952493029,-1310306.52305329
-91522.2211767648,-1310611.38785287,,,,,,,,,883.577,-95.141421,-77.9538514022,L870:2005,L870,-176.005423035,9,2.55,5.290986,6.23802,,,,,,,1480389153,1480389153,2016/11/29,11553,03:12:33,,,,-91500.4940922777,-1310300.25287398
-91434.4704900276,-1310606.75060307,,,,,,,,,883.538,-94.572368,-77.9539491446,L870:2005,L870,-176.009226544,9,2.55,5.220198,4.728446,,,,,,,1480389154,1480389154,2016/11/29,11554,03:12:34,,,,-91412.7642372747,-1310295.61672505
-91346.6969372617,-1310603.40612775,,,,,,,,,883.862,-94.024739,-77.9540351076,L870:2005,L870,-176.01303503,9,2.55,5.104578,3.353035,,,,,,,1480389155,1480389155,2016/11/29,11555,03:12:35,,,,-91325.0115216713,-1310292.2730437
-91258.8918756643,-1310601.03426823,,,,,,,,,884.155,-93.479151,-77.9541122042,L870:2005,L870,-176.016847888,9,2.55,5.119607,1.147855,,,,,,,1480389156,1480389156,2016/11/29,11556,03:12:36,,,,-91237.2273047166,-1310289.90174725
-91171.0996994235,-1310599.2262452,,,,,,,,,884.32,-92.832147,-77.9541841188,L870:2005,L870,-176.020661941,9,2.55,5.339096,-0.255165,,,,,,,1480389157,1480389157,2016/11/29,11557,03:12:37,,,,-91149.4559700594,-1310288.09415344
-91083.3889261804,-1310598.03693484,,,,,,,,,885.186,-92.742991,-77.9542503097,L870:2005,L870,-176.024474369,9,2.55,5.624556,-1.402098,,,,,,,1480389158,1480389158,2016/11/29,11558,03:12:38,,,,-91061.7660190752,-1310286.90512542
-90995.8362964574,-1310597.18404996,,,,,,,,,886.992,-93.11521,-77.9543132924,L870:2005,L870,-176.028280975,9,2.55,5.024602,-2.361041,,,,,,,1480389159,1480389159,2016/11/29,11559,03:12:39,,,,-90974.2341740683,-1310286.05244301
-90908.271506027,-1310596.29134877,,,,,,,,,888.407,-93.354255,-77.9543765916,L870:2005,L870,-176.03208803,9,2.55,4.948592,-2.807662,,,,,,,1480389160,1480389160,2016/11/29,11560,03:12:40,,,,-90886.6901712409,-1310285.15995374
-90820.6502135649,-1310595.231287,,,,,,,,,889.569,-93.396181,-77.9544413936,L870:2005,L870,-176.035897079,9,2.55,5.584625,-3.39676,,,,,,,1480389161,1480389161,2016/11/29,11561,03:12:41,,,,-90799.0896797952,-1310284.10014363
-90733.1320076104,-1310593.85547662,,,,,,,,,891.426,-93.202486,-77.9545089457,L870:2005,L870,-176.039700733,9,2.55,5.171979,-3.156009,,,,,,,1480389162,1480389162,2016/11/29,11562,03:12:42,,,,-90711.5922503847,-1310282.72465986
-90645.6362210993,-1310592.3588749,,,,,,,,,893.208,-93.049608,-77.9545775281,L870:2005,L870,-176.043503091,9,2.55,4.786133,-2.039498,,,,,,,1480389163,1480389163,2016/11/29,11563,03:12:43,,,,-90624.1172350952,-1310281.22841343
-90558.0996727005,-1310591.05814493,,,,,,,,,894.639,-93.20231,-77.9546443044,L870:2005,L870,-176.047307855,9,2.55,4.902161,-1.857014,,,,,,,1480389164,1480389164,2016/11/29,11564,03:12:44,,,,-90536.6014675949,-1310279.92799225
-90470.566341899,-1310589.8721233,,,,,,,,,895.87,-93.414276,-77.9547099841,L870:2005,L870,-176.051112866,9,2.55,4.972765,-1.867546,,,,,,,1480389165,1480389165,2016/11/29,11565,03:12:45,,,,-90449.088916928,-1310278.74225218
-90383.0061396922,-1310588.68844574,,,,,,,,,896.971,-93.387945,-77.9547756066,L870:2005,L870,-176.054919095,9,2.55,5.016445,-2.362492,,,,,,,1480389166,1480389166,2016/11/29,11566,03:12:46,,,,-90361.549501235,-1310277.55885562
-90295.4633522251,-1310587.35898814,,,,,,,,,898.211,-92.992197,-77.9548424895,L870:2005,L870,-176.058724171,9,2.55,4.407458,-2.211527,,,,,,,1480389167,1480389167,2016/11/29,11567,03:12:47,,,,-90274.0274961474,-1310276.22971363
-90207.8187016573,-1310586.07669035,,,,,,,,,898.976,-92.852467,-77.954908955,L870:2005,L870,-176.062533863,9,2.55,4.523115,-2.006219,,,,,,,1480389168,1480389168,2016/11/29,11568,03:12:48,,,,-90186.4036521412,-1310274.94772026
-90120.119168031,-1310584.9209299,,,,,,,,,899.571,-92.993353,-77.9549742526,L870:2005,L870,-176.066346364,9,2.55,4.658131,-1.860334,,,,,,,1480389169,1480389169,2016/11/29,11569,03:12:49,,,,-90098.7249381055,-1310273.79223418
-90032.3945315774,-1310583.83545781,,,,,,,,,899.776,-93.06181,-77.9550388745,L870:2005,L870,-176.070160209,9,2.55,4.87018,-1.926857,,,,,,,1480389170,1480389170,2016/11/29,11570,03:12:50,,,,-90011.0211272018,-1310272.70701977
-89944.6622014754,-1310582.78884038,,,,,,,,,900.42,-92.998152,-77.9551030953,L870:2005,L870,-176.073974546,9,2.55,4.642461,-2.422683,,,,,,,1480389171,1480389171,2016/11/29,11571,03:12:51,,,,-89923.3096244762,-1310271.6606508
-89856.8924899973,-1310581.68405645,,,,,,,,,900.865,-92.818045,-77.9551678147,L870:2005,L870,-176.077790377,9,2.55,4.194506,-2.857301,,,,,,,1480389172,1480389172,2016/11/29,11572,03:12:52,,,,-89835.5607492488,-1310270.55612915
-89768.9851427397,-1310580.53588222,,,,,,,,,900.982,-92.782566,-77.9552329608,L870:2005,L870,-176.081612109,9,2.55,4.369887,-2.73649,,,,,,,1480389173,1480389173,2016/11/29,11573,03:12:53,,,,-89747.674270916,-1310269.40822749
-89680.9884779621,-1310579.34902134,,,,,,,,,901.259,-92.834933,-77.9552984606,L870:2005,L870,-176.085437654,9,2.55,4.303651,-2.701741,,,,,,,1480389174,1480389174,2016/11/29,11574,03:12:54,,,,-89659.6984962671,-1310268.22164837
-89592.8894855697,-1310578.12261725,,,,,,,,,901.295,-92.850017,-77.9553643298,L870:2005,L870,-176.089267576,9,2.56,4.175963,-2.04953,,,,,,,1480389175,1480389175,2016/11/29,11575,03:12:55,,,,-89571.6204182955,-1310266.99553542
-89504.6665445172,-1310576.92757448,,,,,,,,,900.864,-92.728617,-77.9554299376,L870:2005,L870,-176.093103027,9,2.56,4.490913,-1.930846,,,,,,,1480389176,1480389176,2016/11/29,11576,03:12:56,,,,-89483.4184210889,-1310265.80077635
-89416.3485174474,-1310575.82422295,,,,,,,,,900.713,-92.611329,-77.9554947179,L870:2005,L870,-176.09694293,9,2.56,4.466695,-2.704918,,,,,,,1480389177,1480389177,2016/11/29,11577,03:12:57,,,,-89395.1213604381,-1310264.69768676
-89327.8979873803,-1310574.67347845,,,,,,,,,900.993,-92.390397,-77.955559957,L870:2005,L870,-176.1007885,9,2.56,3.916192,-2.542555,,,,,,,1480389178,1480389178,2016/11/29,11578,03:12:58,,,,-89306.6918282457,-1310263.54721544
-89239.2408890742,-1310573.56288425,,,,,,,,,901.032,-92.377986,-77.9556249053,L870:2005,L870,-176.10464322,9,2.56,3.619141,-2.479902,,,,,,,1480389179,1480389179,2016/11/29,11579,03:12:59,,,,-89218.0557768531,-1310262.43688489
-89150.3208779275,-1310572.51952647,,,,,,,,,900.371,-92.441008,-77.9556893512,L870:2005,L870,-176.108509622,9,2.56,4.113466,-2.242295,,,,,,,1480389180,1480389180,2016/11/29,11580,03:13:00,,,,-89129.1568750345,-1310261.3937748
