LineNum,LineFull,SCALE_X_ESPG_3031,SCALE_Y_ESPG_3031,SCALE_Dice_SurfElev,,X_EPSG_3031,Y_EPSG_3031,DICE_SurfElev
L810,L810:1009,-34.21317586,-125.0727981,,-9999,-342131.7586,-1250727.981,
L810,L810:1009,-34.21017461,-125.0721693,,-9999,-342101.7461,-1250721.693,
L810,L810:1009,-34.19884133,-125.0697789,,-9999,-341988.4133,-1250697.789,
L810,L810:1009,-34.18749121,-125.0673815,,-9999,-341874.9121,-1250673.815,
L810,L810:1009,-34.17611805,-125.0650013,,-9999,-341761.1805,-1250650.013,
L810,L810:1009,-34.16471926,-125.0626434,,-9999,-341647.1926,-1250626.434,
L810,L810:1009,-34.15329629,-125.0602963,,-9999,-341532.9629,-1250602.963,
L810,L810:1009,-34.14185087,-125.0579455,,-9999,-341418.5087,-1250579.455,
L810,L810:1009,-34.13038507,-125.0555839,,-9999,-341303.8507,-1250555.839,
L810,L810:1009,-34.11889188,-125.0532383,,-9999,-341188.9188,-1250532.383,
L810,L810:1009,-34.1073613,-125.0509515,,-9999,-341073.613,-1250509.515,
L810,L810:1009,-34.09578447,-125.0487716,,-9999,-340957.8447,-1250487.716,
L810,L810:1009,-34.08415688,-125.0467287,,-9999,-340841.5688,-1250467.287,
L810,L810:1009,-34.07247752,-125.0448505,,-9999,-340724.7752,-1250448.505,
L810,L810:1009,-34.06074924,-125.0431536,,-9999,-340607.4924,-1250431.536,
L810,L810:1009,-34.0489762,-125.0416267,,-9999,-340489.762,-1250416.267,
L810,L810:1009,-34.03716358,-125.0402528,,-9999,-340371.6358,-1250402.528,
L810,L810:1009,-34.02531467,-125.0390096,,-9999,-340253.1467,-1250390.096,
L810,L810:1009,-34.01343177,-125.037876,,-9999,-340134.3177,-1250378.76,
L810,L810:1009,-34.00151718,-125.0368347,,-9999,-340015.1718,-1250368.347,
L810,L810:1009,-33.98957162,-125.0358698,,-9999,-339895.7162,-1250358.698,
L810,L810:1009,-33.97759596,-125.0349686,,-9999,-339775.9596,-1250349.686,
L810,L810:1009,-33.96558962,-125.0341173,,-9999,-339655.8962,-1250341.173,
L810,L810:1009,-33.95355238,-125.0333117,,-9999,-339535.5238,-1250333.117,
L810,L810:1009,-33.94148112,-125.0325477,,-9999,-339414.8112,-1250325.477,
L810,L810:1009,-33.92937559,-125.0318197,,-9999,-339293.7559,-1250318.197,
L810,L810:1009,-33.91723411,-125.0311214,,-9999,-339172.3411,-1250311.214,
L810,L810:1009,-33.90505408,-125.0304496,,-9999,-339050.5408,-1250304.496,
L810,L810:1009,-33.89283848,-125.0298012,,-9999,-338928.3848,-1250298.012,
L810,L810:1009,-33.8805893,-125.0291739,,-9999,-338805.893,-1250291.739,
L810,L810:1009,-33.86830053,-125.0285649,,-9999,-338683.0053,-1250285.649,
L810,L810:1009,-33.85597253,-125.0279689,,-9999,-338559.7253,-1250279.689,
L810,L810:1009,-33.84360809,-125.0273889,,-9999,-338436.0809,-1250273.889,
L810,L810:1009,-33.83121233,-125.0268315,,-9999,-338312.1233,-1250268.315,
L810,L810:1009,-33.81879112,-125.026298,,-9999,-338187.9112,-1250262.98,
