LineNum,LineFull,SCALE_X_ESPG_3031,SCALE_Y_ESPG_3031,SCALE_Dice_SurfElev,,X_EPSG_3031,Y_EPSG_3031,DICE_SurfElev
L740,L740:1013,-53.08409807,-118.057104,,-9999,-530840.9807,-1180571.04,
L740,L740:1013,-53.07700162,-118.0567717,,-9999,-530770.0162,-1180567.717,
L740,L740:1013,-53.06819087,-118.0563577,,-9999,-530681.9087,-1180563.577,
L740,L740:1013,-53.05938462,-118.0559139,,-9999,-530593.8462,-1180559.139,
L740,L740:1013,-53.05058002,-118.0554316,,-9999,-530505.8002,-1180554.316,
L740,L740:1013,-53.04177646,-118.0549138,,-9999,-530417.7646,-1180549.138,
L740,L740:1013,-53.03297208,-118.0543616,,-9999,-530329.7208,-1180543.616,
L740,L740:1013,-53.02416451,-118.0537754,,-9999,-530241.6451,-1180537.754,
L740,L740:1013,-53.01535593,-118.0531557,,-9999,-530153.5593,-1180531.557,
L740,L740:1013,-53.00654954,-118.0525045,,-9999,-530065.4954,-1180525.045,
L740,L740:1013,-52.99773885,-118.0518291,,-9999,-529977.3885,-1180518.291,
L740,L740:1013,-52.9889208,-118.0511422,,-9999,-529889.208,-1180511.422,
L740,L740:1013,-52.98009564,-118.050451,,-9999,-529800.9564,-1180504.51,
L740,L740:1013,-52.97126384,-118.0497609,,-9999,-529712.6384,-1180497.609,
L740,L740:1013,-52.96242581,-118.0490751,,-9999,-529624.2581,-1180490.751,
L740,L740:1013,-52.95358239,-118.0483971,,-9999,-529535.8239,-1180483.971,
L740,L740:1013,-52.94473427,-118.0477296,,-9999,-529447.3427,-1180477.296,
L740,L740:1013,-52.93588197,-118.0470776,,-9999,-529358.8197,-1180470.776,
L740,L740:1013,-52.92702584,-118.0464443,,-9999,-529270.2584,-1180464.443,
L740,L740:1013,-52.91816729,-118.0458303,,-9999,-529181.6729,-1180458.303,
L740,L740:1013,-52.90930808,-118.0452317,,-9999,-529093.0808,-1180452.317,
L740,L740:1013,-52.9004487,-118.0446438,,-9999,-529004.487,-1180446.438,
L740,L740:1013,-52.89158827,-118.0440721,,-9999,-528915.8827,-1180440.721,
L740,L740:1013,-52.88272572,-118.0435219,,-9999,-528827.2572,-1180435.219,
L740,L740:1013,-52.8738606,-118.0429958,,-9999,-528738.606,-1180429.958,
