LineNum,LineFull,SCALE_X_ESPG_3031,SCALE_Y_ESPG_3031,SCALE_Dice_SurfElev,,X_EPSG_3031,Y_EPSG_3031,DICE_SurfElev
L210,L210:1014,3.810259413,-65.04410101,,-9999,38102.59413,-650441.0101,
L210,L210:1014,3.802029228,-65.0407728,,-9999,38020.29228,-650407.728,
L210,L210:1014,3.792886667,-65.03741068,,-9999,37928.86667,-650374.1068,
L210,L210:1014,3.783665612,-65.03431467,,-9999,37836.65612,-650343.1467,
L210,L210:1014,3.774385597,-65.03144643,0.477960766,0.477960766,37743.85597,-650314.4643,47.7960766
L210,L210:1014,3.765053319,-65.02879291,0.477960766,0.477960766,37650.53319,-650287.9291,47.7960766
L210,L210:1014,3.755674923,-65.02634727,0.462569841,0.462569841,37556.74923,-650263.4727,46.25698411
L210,L210:1014,3.746259991,-65.02409503,0.457467368,0.457467368,37462.59991,-650240.9503,45.74673676
L210,L210:1014,3.736811889,-65.02204316,0.443659753,0.443659753,37368.11889,-650220.4316,44.36597532
L210,L210:1014,3.727332128,-65.02019606,0.437868248,0.437868248,37273.32128,-650201.9606,43.78682477
L210,L210:1014,3.717825332,-65.01854734,0.431083807,0.431083807,37178.25332,-650185.4734,43.10838068
L210,L210:1014,3.708298007,-65.01708516,0.444052087,0.444052087,37082.98007,-650170.8516,44.40520873
L210,L210:1014,3.698754818,-65.01580072,0.457016405,0.457016405,36987.54818,-650158.0072,45.70164048
L210,L210:1014,3.689198746,-65.01468136,0.469806989,0.469806989,36891.98746,-650146.8136,46.98069895
L210,L210:1014,3.67963266,-65.01370833,0.471857595,0.471857595,36796.3266,-650137.0833,47.1857595
L210,L210:1014,3.67005865,-65.01287216,0.483294418,0.483294418,36700.5865,-650128.7216,48.32944179
L210,L210:1014,3.660479883,-65.01216121,0.484504598,0.484504598,36604.79883,-650121.6121,48.45045981
L210,L210:1014,3.650897655,-65.0115628,0.475218936,0.475218936,36508.97655,-650115.628,47.52189365
L210,L210:1014,3.641312839,-65.01106351,0.46537169,0.46537169,36413.12839,-650110.6351,46.53716898
L210,L210:1014,3.631726188,-65.01064903,0.4449758,0.4449758,36317.26188,-650106.4903,44.49758
L210,L210:1014,3.622138038,-65.01030353,0.424302866,0.424302866,36221.38038,-650103.0353,42.43028659
L210,L210:1014,3.612548628,-65.01000751,0.383081197,0.383081197,36125.48628,-650100.0751,38.30811966
L210,L210:1014,3.602957185,-65.00974977,0.351903008,0.351903008,36029.57185,-650097.4977,35.19030082
L210,L210:1014,3.593363487,-65.00952014,0.324602128,0.324602128,35933.63487,-650095.2014,32.46021275
L210,L210:1014,3.58376786,-65.00931109,0.268982543,0.268982543,35837.6786,-650093.1109,26.89825435
L210,L210:1014,3.57417079,-65.00912428,0.224168215,0.224168215,35741.7079,-650091.2428,22.41682146
L210,L210:1014,3.564573139,-65.00896118,0.186655897,0.186655897,35645.73139,-650089.6118,18.66558972
L210,L210:1014,3.554975362,-65.0088226,0.160710523,0.160710523,35549.75362,-650088.226,16.07105231
L210,L210:1014,3.545377706,-65.00871148,0.1498685,0.1498685,35453.77706,-650087.1148,14.98685003
L210,L210:1014,3.535779616,-65.0086292,0.139239658,0.139239658,35357.79616,-650086.292,13.9239658
L210,L210:1014,3.526181039,-65.00857219,0.116793103,0.116793103,35261.81039,-650085.7219,11.6793103
L210,L210:1014,3.516582412,-65.00853362,0.087099243,0.087099243,35165.82412,-650085.3362,8.709924311
L210,L210:1014,3.506985326,-65.0085052,0.049044768,0.049044768,35069.85326,-650085.052,4.904476758
L210,L210:1014,3.497391308,-65.00848182,0.028970062,0.028970062,34973.91308,-650084.8182,2.897006211
L210,L210:1014,3.487799796,-65.00846153,0.023023959,0.023023959,34877.99796,-650084.6153,2.302395944
L210,L210:1014,3.478210441,-65.00844485,0.015097142,0.015097142,34782.10441,-650084.4485,1.5097142
L210,L210:1014,3.468623713,-65.00843519,0.00709653,0.00709653,34686.23713,-650084.3519,0.709652962
L210,L210:1014,3.459040078,-65.00843617,0.019374682,0.019374682,34590.40078,-650084.3617,1.937468216
L210,L210:1014,3.449460335,-65.00845332,0.028481078,0.028481078,34494.60335,-650084.5332,2.84810776
L210,L210:1014,3.4398847,-65.00849019,0.045382173,0.045382173,34398.847,-650084.9019,4.538217307
L210,L210:1014,3.4303131,-65.00854954,0.066510697,0.066510697,34303.131,-650085.4954,6.651069723
L210,L210:1014,3.42074385,-65.00863091,0.082683068,0.082683068,34207.4385,-650086.3091,8.268306806
L210,L210:1014,3.411176303,-65.00873193,0.094763684,0.094763684,34111.76303,-650087.3193,9.476368398
L210,L210:1014,3.401610658,-65.00884798,0.111037333,0.111037333,34016.10658,-650088.4798,11.10373332
L210,L210:1014,3.392046538,-65.00897682,0.111995804,0.111995804,33920.46538,-650089.7682,11.19958036
L210,L210:1014,3.382483252,-65.00912026,0.112423184,0.112423184,33824.83252,-650091.2026,11.24231842
L210,L210:1014,3.372920966,-65.00928185,0.112416995,0.112416995,33729.20966,-650092.8185,11.24169949
L210,L210:1014,3.363359761,-65.00946411,0.111884365,0.111884365,33633.59761,-650094.6411,11.18843651
L210,L210:1014,3.35379943,-65.00966937,0.111147496,0.111147496,33537.9943,-650096.6937,11.11474955
L210,L210:1014,3.344239219,-65.00989795,0.11946083,0.11946083,33442.39219,-650098.9795,11.94608302
L210,L210:1014,3.334678467,-65.01014847,0.118677804,0.118677804,33346.78467,-650101.4847,11.86778039
L210,L210:1014,3.325116859,-65.01041833,0.116965314,0.116965314,33251.16859,-650104.1833,11.69653138
L210,L210:1014,3.315554008,-65.01070056,0.125064677,0.125064677,33155.54008,-650107.0056,12.50646766
L210,L210:1014,3.305989054,-65.01098714,0.123050462,0.123050462,33059.89054,-650109.8714,12.30504618
L210,L210:1014,3.296422285,-65.01127493,0.122354958,0.122354958,32964.22285,-650112.7493,12.23549579
L210,L210:1014,3.286854018,-65.01156422,0.129278439,0.129278439,32868.54018,-650115.6422,12.92784386
L210,L210:1014,3.277284453,-65.01185442,,-9999,32772.84453,-650118.5442,
L210,L210:1014,3.267714132,-65.01214562,,-9999,32677.14132,-650121.4562,
L210,L210:1014,3.258142794,-65.01243795,,-9999,32581.42794,-650124.3795,
L210,L210:1014,3.248570414,-65.01273064,,-9999,32485.70414,-650127.3064,
L210,L210:1014,3.238996804,-65.01302335,,-9999,32389.96804,-650130.2335,
L210,L210:1014,3.229422674,-65.01331647,,-9999,32294.22674,-650133.1647,
L210,L210:1014,3.219848027,-65.01360953,,-9999,32198.48027,-650136.0953,
L210,L210:1014,3.21027255,-65.01390257,,-9999,32102.7255,-650139.0257,
L210,L210:1014,3.200696169,-65.01419622,0.140742467,0.140742467,32006.96169,-650141.9622,14.07424672
L210,L210:1014,3.191119353,-65.01448906,0.140742467,0.140742467,31911.19353,-650144.8906,14.07424672
L210,L210:1014,3.181542707,-65.01478197,0.130852459,0.130852459,31815.42707,-650147.8197,13.08524594
L210,L210:1014,3.171965628,-65.01507572,0.130820245,0.130820245,31719.65628,-650150.7572,13.08202448
L210,L210:1014,3.162387527,-65.01537019,0.140595197,0.140595197,31623.87527,-650153.7019,14.05951971
L210,L210:1014,3.152809006,-65.01566535,0.140711232,0.140711232,31528.09006,-650156.6535,14.07112317
L210,L210:1014,3.143231017,-65.01596011,0.141176727,0.141176727,31432.31017,-650159.6011,14.11767268
L210,L210:1014,3.133652892,-65.01625332,0.141432402,0.141432402,31336.52892,-650162.5332,14.14324023
L210,L210:1014,3.124073598,-65.0165436,0.13133115,0.13133115,31240.73598,-650165.436,13.13311498
L210,L210:1014,3.114493813,-65.01683141,0.141253947,0.141253947,31144.93813,-650168.3141,14.12539471
L210,L210:1014,3.10491399,-65.01711631,0.141340042,0.141340042,31049.1399,-650171.1631,14.1340042
L210,L210:1014,3.095333629,-65.01739981,0.151193205,0.151193205,30953.33629,-650173.9981,15.11932049
L210,L210:1014,3.085752483,-65.01768163,0.156342744,0.156342744,30857.52483,-650176.8163,15.63427443
L210,L210:1014,3.076170868,-65.01796209,0.160371472,0.160371472,30761.70868,-650179.6209,16.03714723
L210,L210:1014,3.066588894,-65.01824131,0.150090995,0.150090995,30665.88894,-650182.4131,15.0090995
L210,L210:1014,3.05700616,-65.01851997,0.144024726,0.144024726,30570.0616,-650185.1997,14.40247256
L210,L210:1014,3.047422292,-65.01879894,0.139015212,0.139015212,30474.22292,-650187.9894,13.90152124
L210,L210:1014,3.037837265,-65.01908021,0.148234685,0.148234685,30378.37265,-650190.8021,14.82346853
L210,L210:1014,3.028251072,-65.01936708,0.147341626,0.147341626,30282.51072,-650193.6708,14.73416259
L210,L210:1014,3.018663409,-65.01966091,0.156327898,0.156327898,30186.63409,-650196.6091,15.63278983
L210,L210:1014,3.009075047,-65.01996164,0.16543467,0.16543467,30090.75047,-650199.6164,16.54346704
L210,L210:1014,2.999485878,-65.02027134,0.16455746,0.16455746,29994.85878,-650202.7134,16.45574602
L210,L210:1014,2.989895693,-65.02058906,0.16377645,0.16377645,29898.95693,-650205.8906,16.37764503
L210,L210:1014,2.98030394,-65.02091151,0.152767943,0.152767943,29803.0394,-650209.1151,15.27679429
L210,L210:1014,2.97071017,-65.02123788,0.151659863,0.151659863,29707.1017,-650212.3788,15.16598633
L210,L210:1014,2.961114455,-65.02156526,0.150709323,0.150709323,29611.14455,-650215.6526,15.07093234
L210,L210:1014,2.951516353,-65.02188811,0.149671808,0.149671808,29515.16353,-650218.8811,14.96718081
L210,L210:1014,2.941915987,-65.0222004,0.148727808,0.148727808,29419.15987,-650222.004,14.87278077
L210,L210:1014,2.932314295,-65.02249954,0.148202477,0.148202477,29323.14295,-650224.9954,14.82024774
L210,L210:1014,2.922711509,-65.02278624,0.147874237,0.147874237,29227.11509,-650227.8624,14.78742374
L210,L210:1014,2.913107718,-65.02306266,0.15746913,0.15746913,29131.07718,-650230.6266,15.74691299
L210,L210:1014,2.903502946,-65.02333025,0.156607726,0.156607726,29035.02946,-650233.3025,15.66077255
L210,L210:1014,2.893897149,-65.02358946,0.15544657,0.15544657,28938.97149,-650235.8946,15.54465704
L210,L210:1014,2.884291255,-65.02384193,0.144770267,0.144770267,28842.91255,-650238.4193,14.47702672
L210,L210:1014,2.874685114,-65.02409202,0.134925499,0.134925499,28746.85114,-650240.9202,13.49254994
L210,L210:1014,2.865077409,-65.024344,0.135041305,0.135041305,28650.77409,-650243.44,13.50413046
L210,L210:1014,2.855467135,-65.02459901,0.13452525,0.13452525,28554.67135,-650245.9901,13.45252502
L210,L210:1014,2.845854734,-65.02485414,0.123914052,0.123914052,28458.54734,-650248.5414,12.39140524
L210,L210:1014,2.83624124,-65.0251069,0.123803627,0.123803627,28362.4124,-650251.069,12.38036268
L210,L210:1014,2.826626515,-65.02535676,0.133997619,0.133997619,28266.26515,-650253.5676,13.39976194
L210,L210:1014,2.817009927,-65.025605,0.144086982,0.144086982,28170.09927,-650256.05,14.40869822
L210,L210:1014,2.807391268,-65.02585082,0.144024417,0.144024417,28073.91268,-650258.5082,14.40244173
L210,L210:1014,2.797770326,-65.02609177,,-9999,27977.70326,-650260.9177,
L210,L210:1014,2.788147451,-65.02632818,,-9999,27881.47451,-650263.2818,
L210,L210:1014,2.778523397,-65.02656149,,-9999,27785.23397,-650265.6149,
L210,L210:1014,2.768897923,-65.02679073,,-9999,27688.97923,-650267.9073,
L210,L210:1014,2.759270193,-65.02701236,,-9999,27592.70193,-650270.1236,
L210,L210:1014,2.74964008,-65.02722283,,-9999,27496.4008,-650272.2283,
L210,L210:1014,2.740006905,-65.02741623,,-9999,27400.06905,-650274.1623,
L210,L210:1014,2.730370046,-65.02758564,,-9999,27303.70046,-650275.8564,
L210,L210:1014,2.720730452,-65.02772548,,-9999,27207.30452,-650277.2548,
L210,L210:1014,2.711089446,-65.02783395,,-9999,27110.89446,-650278.3395,
L210,L210:1014,2.701447803,-65.02791469,,-9999,27014.47803,-650279.1469,
L210,L210:1014,2.691804616,-65.02797284,,-9999,26918.04616,-650279.7284,
L210,L210:1014,2.682159538,-65.0280142,,-9999,26821.59538,-650280.142,
L210,L210:1014,2.672513825,-65.02804402,,-9999,26725.13825,-650280.4402,
L210,L210:1014,2.662868157,-65.0280663,,-9999,26628.68157,-650280.663,
L210,L210:1014,2.653221635,-65.0280851,,-9999,26532.21635,-650280.851,
L210,L210:1014,2.64357332,-65.02810276,,-9999,26435.7332,-650281.0276,
L210,L210:1014,2.633923571,-65.02811992,,-9999,26339.23571,-650281.1992,
L210,L210:1014,2.624272898,-65.02813683,,-9999,26242.72898,-650281.3683,
L210,L210:1014,2.614620063,-65.02815346,,-9999,26146.20063,-650281.5346,
L210,L210:1014,2.604964757,-65.02816945,,-9999,26049.64757,-650281.6945,
L210,L210:1014,2.595308513,-65.02818566,,-9999,25953.08513,-650281.8566,
L210,L210:1014,2.585652159,-65.02820114,,-9999,25856.52159,-650282.0114,
L210,L210:1014,2.575995055,-65.02821423,,-9999,25759.95055,-650282.1423,
L210,L210:1014,2.56633621,-65.02822423,,-9999,25663.3621,-650282.2423,
L210,L210:1014,2.556676374,-65.02823104,,-9999,25566.76374,-650282.3104,
L210,L210:1014,2.54701645,-65.02823638,,-9999,25470.1645,-650282.3638,
L210,L210:1014,2.537355164,-65.02824059,,-9999,25373.55164,-650282.4059,
L210,L210:1014,2.527691346,-65.02824383,,-9999,25276.91346,-650282.4383,
L210,L210:1014,2.518026791,-65.02824469,0.119279134,0.119279134,25180.26791,-650282.4469,11.92791345
L210,L210:1014,2.508362502,-65.02824407,0.119214165,0.119214165,25083.62502,-650282.4407,11.92141648
L210,L210:1014,2.498696545,-65.02824407,0.118577965,0.118577965,24986.96545,-650282.4407,11.8577965
L210,L210:1014,2.489028977,-65.02824474,0.117814245,0.117814245,24890.28977,-650282.4474,11.78142448
L210,L210:1014,2.479361538,-65.0282466,0.117597489,0.117597489,24793.61538,-650282.466,11.75974895
L210,L210:1014,2.469694535,-65.02824995,0.117777879,0.117777879,24696.94535,-650282.4995,11.77778794
L210,L210:1014,2.460027044,-65.02825475,0.117605695,0.117605695,24600.27044,-650282.5475,11.7605695
L210,L210:1014,2.450358082,-65.02826125,0.116761945,0.116761945,24503.58082,-650282.6125,11.67619448
L210,L210:1014,2.440688098,-65.02826898,0.126005782,0.126005782,24406.88098,-650282.6898,12.60057823
L210,L210:1014,2.431017957,-65.02827649,0.126005782,0.126005782,24310.17957,-650282.7649,12.60057823
L210,L210:1014,2.421347008,-65.02828311,,-9999,24213.47008,-650282.8311,
L210,L210:1014,2.411674067,-65.02828618,,-9999,24116.74067,-650282.8618,
L210,L210:1014,2.401999687,-65.02828357,,-9999,24019.99687,-650282.8357,
L210,L210:1014,2.392324229,-65.02827584,,-9999,23923.24229,-650282.7584,
L210,L210:1014,2.382647967,-65.02826506,0.118520424,0.118520424,23826.47967,-650282.6506,11.85204239
L210,L210:1014,2.372971592,-65.02825458,0.118725324,0.118725324,23729.71592,-650282.5458,11.87253238
L210,L210:1014,2.363294486,-65.02824684,0.119674244,0.119674244,23632.94486,-650282.4684,11.96742442
L210,L210:1014,2.353616097,-65.02824253,0.120008235,0.120008235,23536.16097,-650282.4253,12.00082345
L210,L210:1014,2.34393712,-65.02824244,0.120253119,0.120253119,23439.3712,-650282.4244,12.02531194
L210,L210:1014,2.334258592,-65.02824593,0.120840809,0.120840809,23342.58592,-650282.4593,12.08408092
L210,L210:1014,2.324579777,-65.02825209,0.121501884,0.121501884,23245.79777,-650282.5209,12.15018844
L210,L210:1014,2.31490022,-65.02826134,0.121995379,0.121995379,23149.0022,-650282.6134,12.19953794
L210,L210:1014,2.305219362,-65.0282736,0.122225805,0.122225805,23052.19362,-650282.736,12.22258045
L210,L210:1014,2.295537223,-65.0282882,0.132240197,0.132240197,22955.37223,-650282.882,13.22401971
L210,L210:1014,2.285854365,-65.02830317,0.132494232,0.132494232,22858.54365,-650283.0317,13.24942318
L210,L210:1014,2.276170834,-65.02831581,0.142969999,0.142969999,22761.70834,-650283.1581,14.29699992
L210,L210:1014,2.266487113,-65.02832422,0.143437779,0.143437779,22664.87113,-650283.2422,14.34377794
L210,L210:1014,2.256802492,-65.02832876,0.143588965,0.143588965,22568.02492,-650283.2876,14.35889646
