LineNum,LineFull,SCALE_X_ESPG_3031,SCALE_Y_ESPG_3031,SCALE_Dice_SurfElev,,X_EPSG_3031,Y_EPSG_3031,DICE_SurfElev
L530,L530:1017,-57.41981645,-97.01033704,,-9999,-574198.1645,-970103.3704,
L530,L530:1017,-57.41591111,-97.01081374,,-9999,-574159.1111,-970108.1374,
L530,L530:1017,-57.40520963,-97.01215203,,-9999,-574052.0963,-970121.5203,
L530,L530:1017,-57.39450504,-97.01352872,,-9999,-573945.0504,-970135.2872,
L530,L530:1017,-57.38379667,-97.01493012,,-9999,-573837.9667,-970149.3012,
L530,L530:1017,-57.37308437,-97.01634871,,-9999,-573730.8437,-970163.4871,
L530,L530:1017,-57.36236776,-97.01777748,,-9999,-573623.6776,-970177.7748,
L530,L530:1017,-57.35164613,-97.01921207,,-9999,-573516.4613,-970192.1207,
L530,L530:1017,-57.340919,-97.02064604,,-9999,-573409.19,-970206.4604,
L530,L530:1017,-57.33018664,-97.02207499,,-9999,-573301.8664,-970220.7499,
L530,L530:1017,-57.31944956,-97.02350173,,-9999,-573194.4956,-970235.0173,
L530,L530:1017,-57.30870819,-97.02492329,,-9999,-573087.0819,-970249.2329,
L530,L530:1017,-57.29796278,-97.02633437,,-9999,-572979.6278,-970263.3437,
L530,L530:1017,-57.28721365,-97.02773211,,-9999,-572872.1365,-970277.3211,
L530,L530:1017,-57.27646037,-97.02911547,,-9999,-572764.6037,-970291.1547,
L530,L530:1017,-57.26570237,-97.03046588,,-9999,-572657.0237,-970304.6588,
L530,L530:1017,-57.25493908,-97.03175232,,-9999,-572549.3908,-970317.5232,
L530,L530:1017,-57.24416989,-97.03294236,,-9999,-572441.6989,-970329.4236,
L530,L530:1017,-57.23339499,-97.03400605,,-9999,-572333.9499,-970340.0605,
L530,L530:1017,-57.22261571,-97.03491574,,-9999,-572226.1571,-970349.1574,
L530,L530:1017,-57.21183414,-97.03565511,,-9999,-572118.3414,-970356.5511,
L530,L530:1017,-57.20105369,-97.03622618,,-9999,-572010.5369,-970362.2618,
L530,L530:1017,-57.1902778,-97.0366414,,-9999,-571902.778,-970366.414,
