LineNum,LineFull,SCALE_X_ESPG_3031,SCALE_Y_ESPG_3031,SCALE_Dice_SurfElev,,X_EPSG_3031,Y_EPSG_3031,DICE_SurfElev
L630,L630:1019,-55.36210901,-106.9007365,,-9999,-553621.0901,-1069007.365,
L630,L630:1019,-55.36168369,-106.9007279,,-9999,-553616.8369,-1069007.279,
L630,L630:1019,-55.35223085,-106.900557,,-9999,-553522.3085,-1069005.57,
L630,L630:1019,-55.3427766,-106.9004358,,-9999,-553427.766,-1069004.358,
L630,L630:1019,-55.33332147,-106.9003815,,-9999,-553333.2147,-1069003.815,
L630,L630:1019,-55.32386873,-106.9004088,,-9999,-553238.6873,-1069004.088,
L630,L630:1019,-55.31442061,-106.900523,,-9999,-553144.2061,-1069005.23,
L630,L630:1019,-55.30497874,-106.9007218,,-9999,-553049.7874,-1069007.218,
L630,L630:1019,-55.29554305,-106.9009895,,-9999,-552955.4305,-1069009.895,
L630,L630:1019,-55.28611265,-106.9013085,,-9999,-552861.1265,-1069013.085,
L630,L630:1019,-55.27668788,-106.9016646,,-9999,-552766.8788,-1069016.646,
L630,L630:1019,-55.26726772,-106.9020512,,-9999,-552672.6772,-1069020.512,
L630,L630:1019,-55.25785206,-106.9024645,,-9999,-552578.5206,-1069024.645,
L630,L630:1019,-55.24843738,-106.9029009,,-9999,-552484.3738,-1069029.009,
L630,L630:1019,-55.23902546,-106.9033674,,-9999,-552390.2546,-1069033.674,
L630,L630:1019,-55.22961724,-106.9038702,,-9999,-552296.1724,-1069038.702,
L630,L630:1019,-55.22021224,-106.9043963,,-9999,-552202.1224,-1069043.963,
L630,L630:1019,-55.21080646,-106.9049238,,-9999,-552108.0646,-1069049.238,
L630,L630:1019,-55.20139861,-106.9054481,,-9999,-552013.9861,-1069054.481,
L630,L630:1019,-55.19199063,-106.9059874,,-9999,-551919.9063,-1069059.874,
L630,L630:1019,-55.18258408,-106.9065483,,-9999,-551825.8408,-1069065.483,
L630,L630:1019,-55.17317839,-106.90713,,-9999,-551731.7839,-1069071.3,
L630,L630:1019,-55.16377283,-106.9077253,,-9999,-551637.7283,-1069077.253,
L630,L630:1019,-55.15436598,-106.9083266,,-9999,-551543.6598,-1069083.266,
L630,L630:1019,-55.14495875,-106.9089333,,-9999,-551449.5875,-1069089.333,
L630,L630:1019,-55.13555156,-106.9095456,,-9999,-551355.5156,-1069095.456,
L630,L630:1019,-55.12614351,-106.9101579,,-9999,-551261.4351,-1069101.579,
L630,L630:1019,-55.11673484,-106.9107732,,-9999,-551167.3484,-1069107.732,
L630,L630:1019,-55.10732718,-106.9113963,,-9999,-551073.2718,-1069113.963,
L630,L630:1019,-55.09792044,-106.9120279,,-9999,-550979.2044,-1069120.279,
L630,L630:1019,-55.08851401,-106.9126574,,-9999,-550885.1401,-1069126.574,
L630,L630:1019,-55.07910942,-106.9132863,,-9999,-550791.0942,-1069132.863,
L630,L630:1019,-55.06971027,-106.9139345,,-9999,-550697.1027,-1069139.345,
L630,L630:1019,-55.06031794,-106.9146168,,-9999,-550603.1794,-1069146.168,
L630,L630:1019,-55.050935,-106.9153473,,-9999,-550509.35,-1069153.473,
L630,L630:1019,-55.0415627,-106.9161243,,-9999,-550415.627,-1069161.243,
L630,L630:1019,-55.03220205,-106.9169609,,-9999,-550322.0205,-1069169.609,
L630,L630:1019,-55.02285675,-106.9178644,,-9999,-550228.5675,-1069178.644,
L630,L630:1019,-55.01352476,-106.9188221,,-9999,-550135.2476,-1069188.221,
L630,L630:1019,-55.00420439,-106.9198268,,-9999,-550042.0439,-1069198.268,
L630,L630:1019,-54.99489363,-106.9208745,,-9999,-549948.9363,-1069208.745,
L630,L630:1019,-54.98559278,-106.9219595,,-9999,-549855.9278,-1069219.595,
L630,L630:1019,-54.97630115,-106.9230848,,-9999,-549763.0115,-1069230.848,
L630,L630:1019,-54.9670195,-106.9242525,,-9999,-549670.195,-1069242.525,
L630,L630:1019,-54.95774492,-106.9254485,,-9999,-549577.4492,-1069254.485,
L630,L630:1019,-54.94847363,-106.9266608,,-9999,-549484.7363,-1069266.608,
L630,L630:1019,-54.93920399,-106.9278818,,-9999,-549392.0399,-1069278.818,
L630,L630:1019,-54.9299342,-106.929109,,-9999,-549299.342,-1069291.09,
L630,L630:1019,-54.92066728,-106.9303556,,-9999,-549206.6728,-1069303.556,
L630,L630:1019,-54.911406,-106.9316262,,-9999,-549114.06,-1069316.262,
L630,L630:1019,-54.90214931,-106.9329155,,-9999,-549021.4931,-1069329.155,
L630,L630:1019,-54.8928959,-106.9342155,,-9999,-548928.959,-1069342.155,
L630,L630:1019,-54.88364293,-106.9355183,,-9999,-548836.4293,-1069355.183,
L630,L630:1019,-54.87439119,-106.9368243,,-9999,-548743.9119,-1069368.243,
L630,L630:1019,-54.8651403,-106.9381333,,-9999,-548651.403,-1069381.333,
L630,L630:1019,-54.85589034,-106.9394477,,-9999,-548558.9034,-1069394.477,
L630,L630:1019,-54.84664091,-106.9407671,,-9999,-548466.4091,-1069407.671,
L630,L630:1019,-54.83739222,-106.9420946,,-9999,-548373.9222,-1069420.946,
L630,L630:1019,-54.82814404,-106.9434309,,-9999,-548281.4404,-1069434.309,
L630,L630:1019,-54.81889569,-106.9447753,,-9999,-548188.9569,-1069447.753,
L630,L630:1019,-54.80964723,-106.946129,,-9999,-548096.4723,-1069461.29,
L630,L630:1019,-54.80039929,-106.9474916,,-9999,-548003.9929,-1069474.916,
L630,L630:1019,-54.79115062,-106.9488592,,-9999,-547911.5062,-1069488.592,
L630,L630:1019,-54.7818996,-106.9502261,,-9999,-547818.996,-1069502.261,
L630,L630:1019,-54.77264511,-106.9515897,,-9999,-547726.4511,-1069515.897,
L630,L630:1019,-54.76338732,-106.9529533,,-9999,-547633.8732,-1069529.533,
L630,L630:1019,-54.75412802,-106.954323,,-9999,-547541.2802,-1069543.23,
L630,L630:1019,-54.74486976,-106.955705,,-9999,-547448.6976,-1069557.05,
L630,L630:1019,-54.73561282,-106.9571013,,-9999,-547356.1282,-1069571.013,
L630,L630:1019,-54.72635536,-106.9585028,,-9999,-547263.5536,-1069585.028,
L630,L630:1019,-54.71709447,-106.959902,,-9999,-547170.9447,-1069599.02,
L630,L630:1019,-54.70783065,-106.9612999,,-9999,-547078.3065,-1069612.999,
L630,L630:1019,-54.69856423,-106.9626973,,-9999,-546985.6423,-1069626.973,
L630,L630:1019,-54.68929542,-106.9640956,,-9999,-546892.9542,-1069640.956,
L630,L630:1019,-54.68002359,-106.9654959,,-9999,-546800.2359,-1069654.959,
L630,L630:1019,-54.67074938,-106.9669019,,-9999,-546707.4938,-1069669.019,
L630,L630:1019,-54.66147358,-106.9683154,,-9999,-546614.7358,-1069683.154,
L630,L630:1019,-54.65219912,-106.9697387,,-9999,-546521.9912,-1069697.387,
L630,L630:1019,-54.64292774,-106.971172,,-9999,-546429.2774,-1069711.72,
L630,L630:1019,-54.63366062,-106.972613,,-9999,-546336.6062,-1069726.13,
L630,L630:1019,-54.62439802,-106.9740591,,-9999,-546243.9802,-1069740.591,
L630,L630:1019,-54.6151395,-106.9755094,,-9999,-546151.395,-1069755.094,
L630,L630:1019,-54.60588406,-106.9769623,,-9999,-546058.8406,-1069769.623,
L630,L630:1019,-54.59663136,-106.9784171,,-9999,-545966.3136,-1069784.171,
L630,L630:1019,-54.58738087,-106.9798779,,-9999,-545873.8087,-1069798.779,
L630,L630:1019,-54.57813076,-106.9813413,,-9999,-545781.3076,-1069813.413,
L630,L630:1019,-54.56887993,-106.9828002,,-9999,-545688.7993,-1069828.002,
L630,L630:1019,-54.55962568,-106.984249,,-9999,-545596.2568,-1069842.49,
L630,L630:1019,-54.5503694,-106.9856951,,-9999,-545503.694,-1069856.951,
