LineNum,LineFull,SCALE_X_ESPG_3031,SCALE_Y_ESPG_3031,SCALE_Dice_SurfElev,,X_EPSG_3031,Y_EPSG_3031,DICE_SurfElev
L860,L860:1016,-12.46592337,-129.9756117,,-9999,-124659.2337,-1299756.117,
L860,L860:1016,-12.45939015,-129.9759224,,-9999,-124593.9015,-1299759.224,
L860,L860:1016,-12.45031613,-129.9763862,,-9999,-124503.1613,-1299763.862,
L860,L860:1016,-12.44124517,-129.9768597,,-9999,-124412.4517,-1299768.597,
L860,L860:1016,-12.43217917,-129.977323,,-9999,-124321.7917,-1299773.23,
L860,L860:1016,-12.42311863,-129.9777676,,-9999,-124231.1863,-1299777.676,
L860,L860:1016,-12.41406232,-129.9781951,,-9999,-124140.6232,-1299781.951,
L860,L860:1016,-12.40500925,-129.9786136,,-9999,-124050.0925,-1299786.136,
L860,L860:1016,-12.39595854,-129.9790331,,-9999,-123959.5854,-1299790.331,
L860,L860:1016,-12.38690909,-129.9794596,,-9999,-123869.0909,-1299794.596,
L860,L860:1016,-12.37785943,-129.9798948,,-9999,-123778.5943,-1299798.948,
L860,L860:1016,-12.36880848,-129.9803404,,-9999,-123688.0848,-1299803.404,
L860,L860:1016,-12.35975626,-129.9807964,,-9999,-123597.5626,-1299807.964,
L860,L860:1016,-12.35070239,-129.9812629,,-9999,-123507.0239,-1299812.629,
L860,L860:1016,-12.34164665,-129.9817374,,-9999,-123416.4665,-1299817.374,
L860,L860:1016,-12.33258897,-129.9822183,,-9999,-123325.8897,-1299822.183,
L860,L860:1016,-12.32352938,-129.9827007,,-9999,-123235.2938,-1299827.007,
L860,L860:1016,-12.31446755,-129.9831823,,-9999,-123144.6755,-1299831.823,
L860,L860:1016,-12.3054043,-129.9836624,,-9999,-123054.043,-1299836.624,
L860,L860:1016,-12.29633885,-129.9841423,,-9999,-122963.3885,-1299841.423,
L860,L860:1016,-12.28727174,-129.9846226,,-9999,-122872.7174,-1299846.226,
L860,L860:1016,-12.27820235,-129.9851034,,-9999,-122782.0235,-1299851.034,
L860,L860:1016,-12.26912988,-129.9855858,,-9999,-122691.2988,-1299855.858,
L860,L860:1016,-12.2600552,-129.9860676,,-9999,-122600.552,-1299860.676,
L860,L860:1016,-12.25097788,-129.9865489,,-9999,-122509.7788,-1299865.489,
L860,L860:1016,-12.2418981,-129.9870297,,-9999,-122418.981,-1299870.297,
L860,L860:1016,-12.23281532,-129.9875115,,-9999,-122328.1532,-1299875.115,
L860,L860:1016,-12.22372991,-129.9879959,,-9999,-122237.2991,-1299879.959,
L860,L860:1016,-12.21464197,-129.9884833,,-9999,-122146.4197,-1299884.833,
L860,L860:1016,-12.20555157,-129.9889734,,-9999,-122055.5157,-1299889.734,
L860,L860:1016,-12.19645898,-129.9894655,,-9999,-121964.5898,-1299894.655,
L860,L860:1016,-12.18736449,-129.9899581,,-9999,-121873.6449,-1299899.581,
L860,L860:1016,-12.17826819,-129.9904507,,-9999,-121782.6819,-1299904.507,
L860,L860:1016,-12.1691702,-129.9909435,,-9999,-121691.702,-1299909.435,
L860,L860:1016,-12.16007082,-129.9914361,,-9999,-121600.7082,-1299914.361,
L860,L860:1016,-12.15096992,-129.9919292,,-9999,-121509.6992,-1299919.292,
L860,L860:1016,-12.14186894,-129.9924119,,-9999,-121418.6894,-1299924.119,
L860,L860:1016,-12.13276849,-129.9928807,,-9999,-121327.6849,-1299928.807,
L860,L860:1016,-12.12366904,-129.9933347,,-9999,-121236.6904,-1299933.347,
L860,L860:1016,-12.11457064,-129.9937734,,-9999,-121145.7064,-1299937.734,
L860,L860:1016,-12.10547327,-129.9941964,,-9999,-121054.7327,-1299941.964,
L860,L860:1016,-12.09637674,-129.9946023,,-9999,-120963.7674,-1299946.023,
L860,L860:1016,-12.08728042,-129.9949936,,-9999,-120872.8042,-1299949.936,
L860,L860:1016,-12.07818382,-129.9953747,,-9999,-120781.8382,-1299953.747,
L860,L860:1016,-12.06908935,-129.9957256,,-9999,-120690.8935,-1299957.256,
L860,L860:1016,-12.06000084,-129.9960296,,-9999,-120600.0084,-1299960.296,
L860,L860:1016,-12.05092095,-129.9962648,,-9999,-120509.2095,-1299962.648,
L860,L860:1016,-12.04185096,-129.9964246,,-9999,-120418.5096,-1299964.246,
L860,L860:1016,-12.03278591,-129.9965306,,-9999,-120327.8591,-1299965.306,
L860,L860:1016,-12.02372011,-129.99661,,-9999,-120237.2011,-1299966.1,
L860,L860:1016,-12.0146478,-129.9966999,,-9999,-120146.478,-1299966.999,
L860,L860:1016,-12.00556591,-129.9968293,,-9999,-120055.6591,-1299968.293,
L860,L860:1016,-11.99647252,-129.9970254,,-9999,-119964.7252,-1299970.254,
L860,L860:1016,-11.98736869,-129.9972941,,-9999,-119873.6869,-1299972.941,
L860,L860:1016,-11.97825737,-129.997618,,-9999,-119782.5737,-1299976.18,
L860,L860:1016,-11.96914073,-129.9979864,,-9999,-119691.4073,-1299979.864,
L860,L860:1016,-11.96001891,-129.9984017,,-9999,-119600.1891,-1299984.017,
L860,L860:1016,-11.95089165,-129.9988627,,-9999,-119508.9165,-1299988.627,
L860,L860:1016,-11.94175946,-129.9993659,,-9999,-119417.5946,-1299993.659,
L860,L860:1016,-11.93262165,-129.9999176,,-9999,-119326.2165,-1299999.176,
L860,L860:1016,-11.92347892,-130.0005215,,-9999,-119234.7892,-1300005.215,
L860,L860:1016,-11.91433246,-130.0011724,,-9999,-119143.3246,-1300011.724,
L860,L860:1016,-11.9051834,-130.0018645,,-9999,-119051.834,-1300018.645,
L860,L860:1016,-11.8960321,-130.0025931,,-9999,-118960.321,-1300025.931,
L860,L860:1016,-11.88687813,-130.0033524,,-9999,-118868.7813,-1300033.524,
L860,L860:1016,-11.87772109,-130.0041374,,-9999,-118777.2109,-1300041.374,
L860,L860:1016,-11.86856113,-130.0049492,,-9999,-118685.6113,-1300049.492,
L860,L860:1016,-11.85939863,-130.0057906,,-9999,-118593.9863,-1300057.906,
L860,L860:1016,-11.85023399,-130.0066597,,-9999,-118502.3399,-1300066.597,
L860,L860:1016,-11.84106621,-130.0075641,,-9999,-118410.6621,-1300075.641,
L860,L860:1016,-11.83189436,-130.0084978,,-9999,-118318.9436,-1300084.978,
L860,L860:1016,-11.82271885,-130.0094525,,-9999,-118227.1885,-1300094.525,
