LineNum,LineFull,SCALE_X_ESPG_3031,SCALE_Y_ESPG_3031,SCALE_Dice_SurfElev,,X_EPSG_3031,Y_EPSG_3031,DICE_SurfElev
L350,L350:3012,-48.164148,-78.94835868,,-9999,-481641.48,-789483.5868,
L350,L350:3012,-48.16385771,-78.94855563,,-9999,-481638.5771,-789485.5563,
L350,L350:3012,-48.15552635,-78.95413488,,-9999,-481555.2635,-789541.3488,
L350,L350:3012,-48.14710281,-78.95959397,,-9999,-481471.0281,-789595.9397,
L350,L350:3012,-48.13854858,-78.9648767,,-9999,-481385.4858,-789648.767,
L350,L350:3012,-48.12982774,-78.9699185,,-9999,-481298.2774,-789699.185,
L350,L350:3012,-48.12092727,-78.97468213,,-9999,-481209.2727,-789746.8213,
L350,L350:3012,-48.11184965,-78.97915124,,-9999,-481118.4965,-789791.5124,
L350,L350:3012,-48.10259626,-78.983305,,-9999,-481025.9626,-789833.05,
L350,L350:3012,-48.09317319,-78.98712223,,-9999,-480931.7319,-789871.2223,
L350,L350:3012,-48.08360237,-78.99059754,,-9999,-480836.0237,-789905.9754,
L350,L350:3012,-48.07390243,-78.99373311,,-9999,-480739.0243,-789937.3311,
L350,L350:3012,-48.0640979,-78.99655988,,-9999,-480640.979,-789965.5988,
L350,L350:3012,-48.05420742,-78.99910602,,-9999,-480542.0742,-789991.0602,
L350,L350:3012,-48.04424923,-79.00141298,,-9999,-480442.4923,-790014.1298,
L350,L350:3012,-48.0342404,-79.00352323,,-9999,-480342.404,-790035.2323,
L350,L350:3012,-48.02419344,-79.00546543,,-9999,-480241.9344,-790054.6543,
L350,L350:3012,-48.01411688,-79.00726074,,-9999,-480141.1688,-790072.6074,
L350,L350:3012,-48.00401649,-79.00892239,,-9999,-480040.1649,-790089.2239,
L350,L350:3012,-47.99389457,-79.01046764,,-9999,-479938.9457,-790104.6764,
L350,L350:3012,-47.98374899,-79.01191228,,-9999,-479837.4899,-790119.1228,
L350,L350:3012,-47.97357833,-79.01325988,,-9999,-479735.7833,-790132.5988,
L350,L350:3012,-47.96338312,-79.01450729,,-9999,-479633.8312,-790145.0729,
L350,L350:3012,-47.95316632,-79.0156454,,-9999,-479531.6632,-790156.454,
L350,L350:3012,-47.94292942,-79.01665689,,-9999,-479429.2942,-790166.5689,
L350,L350:3012,-47.93267308,-79.01752334,,-9999,-479326.7308,-790175.2334,
