LineNum,LineFull,SCALE_X_ESPG_3031,SCALE_Y_ESPG_3031,SCALE_Dice_SurfElev,,X_EPSG_3031,Y_EPSG_3031,DICE_SurfElev
L660,L660:1007,-54.66529476,-109.998319,,-9999,-546652.9476,-1099983.19,
L660,L660:1007,-54.65622736,-109.9983837,,-9999,-546562.2736,-1099983.837,
L660,L660:1007,-54.64708475,-109.9985189,,-9999,-546470.8475,-1099985.189,
L660,L660:1007,-54.63795225,-109.9986921,,-9999,-546379.5225,-1099986.921,
L660,L660:1007,-54.62882458,-109.9988772,,-9999,-546288.2458,-1099988.772,
L660,L660:1007,-54.61969213,-109.9990547,,-9999,-546196.9213,-1099990.547,
L660,L660:1007,-54.6105492,-109.9992162,,-9999,-546105.492,-1099992.162,
L660,L660:1007,-54.60139315,-109.9993602,,-9999,-546013.9315,-1099993.602,
L660,L660:1007,-54.5922232,-109.9994942,,-9999,-545922.232,-1099994.942,
L660,L660:1007,-54.58303791,-109.9996237,,-9999,-545830.3791,-1099996.237,
L660,L660:1007,-54.57383634,-109.9997537,,-9999,-545738.3634,-1099997.537,
L660,L660:1007,-54.56461847,-109.9998876,,-9999,-545646.1847,-1099998.876,
L660,L660:1007,-54.55538464,-110.0000306,,-9999,-545553.8464,-1100000.306,
L660,L660:1007,-54.54613781,-110.0001848,,-9999,-545461.3781,-1100001.848,
L660,L660:1007,-54.53687844,-110.000354,,-9999,-545368.7844,-1100003.54,
L660,L660:1007,-54.52760707,-110.0005375,,-9999,-545276.0707,-1100005.375,
L660,L660:1007,-54.51832476,-110.0007347,,-9999,-545183.2476,-1100007.347,
L660,L660:1007,-54.50903193,-110.0009439,,-9999,-545090.3193,-1100009.439,
L660,L660:1007,-54.49972933,-110.0011629,,-9999,-544997.2933,-1100011.629,
L660,L660:1007,-54.49041747,-110.0013915,,-9999,-544904.1747,-1100013.915,
L660,L660:1007,-54.48109595,-110.0016227,,-9999,-544810.9595,-1100016.227,
L660,L660:1007,-54.47176514,-110.0018539,,-9999,-544717.6514,-1100018.539,
L660,L660:1007,-54.4624253,-110.0020864,,-9999,-544624.253,-1100020.864,
L660,L660:1007,-54.45307777,-110.0023196,,-9999,-544530.7777,-1100023.196,
L660,L660:1007,-54.44372305,-110.0025532,,-9999,-544437.2305,-1100025.532,
L660,L660:1007,-54.43436077,-110.0027843,,-9999,-544343.6077,-1100027.843,
L660,L660:1007,-54.4249902,-110.0030105,,-9999,-544249.902,-1100030.105,
L660,L660:1007,-54.41561534,-110.0032297,,-9999,-544156.1534,-1100032.297,
L660,L660:1007,-54.40623874,-110.0034406,,-9999,-544062.3874,-1100034.406,
L660,L660:1007,-54.39686068,-110.0036468,,-9999,-543968.6068,-1100036.468,
L660,L660:1007,-54.38748023,-110.0038513,,-9999,-543874.8023,-1100038.513,
L660,L660:1007,-54.37809757,-110.004056,,-9999,-543780.9757,-1100040.56,
L660,L660:1007,-54.36871229,-110.0042619,,-9999,-543687.1229,-1100042.619,
