LineNum,LineFull,SCALE_X_ESPG_3031,SCALE_Y_ESPG_3031,SCALE_Dice_SurfElev,,X_EPSG_3031,Y_EPSG_3031,DICE_SurfElev
L890,L890:2006,-4.429716698,-133.0843389,,-9999,-44297.16698,-1330843.389,
L890,L890:2006,-4.426557763,-133.0843856,,-9999,-44265.57763,-1330843.856,
L890,L890:2006,-4.418346977,-133.0845116,,-9999,-44183.46977,-1330845.116,
L890,L890:2006,-4.410130735,-133.0846099,,-9999,-44101.30735,-1330846.099,
L890,L890:2006,-4.401910459,-133.0846596,,-9999,-44019.10459,-1330846.596,
L890,L890:2006,-4.393687233,-133.0846363,,-9999,-43936.87233,-1330846.363,
L890,L890:2006,-4.385463435,-133.0845187,,-9999,-43854.63435,-1330845.187,
L890,L890:2006,-4.37724051,-133.0842994,,-9999,-43772.4051,-1330842.994,
L890,L890:2006,-4.369018287,-133.0839871,,-9999,-43690.18287,-1330839.871,
L890,L890:2006,-4.360794472,-133.0836018,,-9999,-43607.94472,-1330836.018,
L890,L890:2006,-4.35256656,-133.0831637,,-9999,-43525.6656,-1330831.637,
L890,L890:2006,-4.344337199,-133.0826659,,-9999,-43443.37199,-1330826.659,
L890,L890:2006,-4.33610802,-133.0821117,,-9999,-43361.0802,-1330821.117,
L890,L890:2006,-4.327876404,-133.0815022,,-9999,-43278.76404,-1330815.022,
L890,L890:2006,-4.319643609,-133.0808123,,-9999,-43196.43609,-1330808.123,
L890,L890:2006,-4.311418274,-133.0799883,,-9999,-43114.18274,-1330799.883,
L890,L890:2006,-4.30320626,-133.0790103,,-9999,-43032.0626,-1330790.103,
L890,L890:2006,-4.295012478,-133.0778628,,-9999,-42950.12478,-1330778.628,
L890,L890:2006,-4.286841052,-133.0765388,,-9999,-42868.41052,-1330765.388,
L890,L890:2006,-4.278693193,-133.0750485,,-9999,-42786.93193,-1330750.485,
L890,L890:2006,-4.27056653,-133.0734165,,-9999,-42705.6653,-1330734.165,
L890,L890:2006,-4.262458744,-133.0716705,,-9999,-42624.58744,-1330716.705,
L890,L890:2006,-4.254365875,-133.0698375,,-9999,-42543.65875,-1330698.375,
L890,L890:2006,-4.246284393,-133.0679365,,-9999,-42462.84393,-1330679.365,
L890,L890:2006,-4.23821238,-133.0659757,,-9999,-42382.1238,-1330659.757,
L890,L890:2006,-4.230148006,-133.0639605,,-9999,-42301.48006,-1330639.605,
L890,L890:2006,-4.222090257,-133.0618998,,-9999,-42220.90257,-1330618.998,
L890,L890:2006,-4.214037745,-133.0598031,,-9999,-42140.37745,-1330598.031,
L890,L890:2006,-4.205989765,-133.0576736,,-9999,-42059.89765,-1330576.736,
L890,L890:2006,-4.197946216,-133.0555128,,-9999,-41979.46216,-1330555.128,
