LineNum,LineFull,SCALE_X_ESPG_3031,SCALE_Y_ESPG_3031,SCALE_Dice_SurfElev,,X_EPSG_3031,Y_EPSG_3031,DICE_SurfElev
L500,L500:3007,-57.97560805,-93.9061282,,-9999,-579756.0805,-939061.282,
L500,L500:3007,-57.97226095,-93.90632276,,-9999,-579722.6095,-939063.2276,
L500,L500:3007,-57.96257281,-93.90705887,,-9999,-579625.7281,-939070.5887,
L500,L500:3007,-57.95291098,-93.90799865,,-9999,-579529.1098,-939079.9865,
L500,L500:3007,-57.94327527,-93.90907717,,-9999,-579432.7527,-939090.7717,
L500,L500:3007,-57.93365705,-93.91023788,,-9999,-579336.5705,-939102.3788,
L500,L500:3007,-57.92405072,-93.91144123,,-9999,-579240.5072,-939114.4123,
L500,L500:3007,-57.91445234,-93.91266545,,-9999,-579144.5234,-939126.6545,
L500,L500:3007,-57.90485969,-93.91390815,,-9999,-579048.5969,-939139.0815,
L500,L500:3007,-57.89527017,-93.91517185,,-9999,-578952.7017,-939151.7185,
L500,L500:3007,-57.8856811,-93.91645346,,-9999,-578856.811,-939164.5346,
L500,L500:3007,-57.87609084,-93.91775075,,-9999,-578760.9084,-939177.5075,
L500,L500:3007,-57.86649962,-93.91906273,,-9999,-578664.9962,-939190.6273,
L500,L500:3007,-57.85690802,-93.92038518,,-9999,-578569.0802,-939203.8518,
L500,L500:3007,-57.84731601,-93.92171206,,-9999,-578473.1601,-939217.1206,
L500,L500:3007,-57.83772272,-93.92303488,,-9999,-578377.2272,-939230.3488,
L500,L500:3007,-57.82812737,-93.92434624,,-9999,-578281.2737,-939243.4624,
L500,L500:3007,-57.81852987,-93.92564368,,-9999,-578185.2987,-939256.4368,
L500,L500:3007,-57.80893007,-93.92692685,,-9999,-578089.3007,-939269.2685,
L500,L500:3007,-57.79932796,-93.92819831,,-9999,-577993.2796,-939281.9831,
L500,L500:3007,-57.78972328,-93.92946311,,-9999,-577897.2328,-939294.6311,
L500,L500:3007,-57.78011617,-93.93072573,,-9999,-577801.1617,-939307.2573,
L500,L500:3007,-57.77050676,-93.9319901,,-9999,-577705.0676,-939319.901,
L500,L500:3007,-57.76089461,-93.93325772,,-9999,-577608.9461,-939332.5772,
L500,L500:3007,-57.7512798,-93.93452979,,-9999,-577512.798,-939345.2979,
L500,L500:3007,-57.74166309,-93.93580696,,-9999,-577416.6309,-939358.0696,
L500,L500:3007,-57.7320446,-93.93708828,,-9999,-577320.446,-939370.8828,
L500,L500:3007,-57.72242445,-93.93837223,,-9999,-577224.2445,-939383.7223,
L500,L500:3007,-57.71280269,-93.93965514,,-9999,-577128.0269,-939396.5514,
L500,L500:3007,-57.70317949,-93.94093349,,-9999,-577031.7949,-939409.3349,
L500,L500:3007,-57.69355452,-93.94220477,,-9999,-576935.5452,-939422.0477,
L500,L500:3007,-57.68392852,-93.94346856,,-9999,-576839.2852,-939434.6856,
L500,L500:3007,-57.6743018,-93.94472768,,-9999,-576743.018,-939447.2768,
L500,L500:3007,-57.66467463,-93.9459841,,-9999,-576646.7463,-939459.841,
L500,L500:3007,-57.65504654,-93.9472385,,-9999,-576550.4654,-939472.385,
L500,L500:3007,-57.64541792,-93.94849242,,-9999,-576454.1792,-939484.9242,
L500,L500:3007,-57.63578857,-93.94974749,,-9999,-576357.8857,-939497.4749,
L500,L500:3007,-57.62615858,-93.9510049,,-9999,-576261.5858,-939510.049,
L500,L500:3007,-57.61652835,-93.95226698,,-9999,-576165.2835,-939522.6698,
L500,L500:3007,-57.60689816,-93.9535333,,-9999,-576068.9816,-939535.333,
L500,L500:3007,-57.59726714,-93.95480117,,-9999,-575972.6714,-939548.0117,
L500,L500:3007,-57.58763488,-93.95606651,,-9999,-575876.3488,-939560.6651,
L500,L500:3007,-57.5780009,-93.95732742,,-9999,-575780.009,-939573.2742,
L500,L500:3007,-57.56836504,-93.9585823,,-9999,-575683.6504,-939585.823,
L500,L500:3007,-57.55872701,-93.9598318,,-9999,-575587.2701,-939598.318,
L500,L500:3007,-57.54908614,-93.96107727,,-9999,-575490.8614,-939610.7727,
L500,L500:3007,-57.53944212,-93.96231921,,-9999,-575394.4212,-939623.1921,
