name,project,x,z,,y,,,,,x,y,z
antARctica,,16.3855225,-82.4151375,,0.1,,,,,163855.225,-824151.375,0
antARctica,,16.47705,-82.656005,,0.1,,,,,164770.5,-826560.05,0
antARctica,,16.5623525,-82.875025,,0.1,,,,,165623.525,-828750.25,0
antARctica,,16.599975,-82.970605,,0.1,,,,,165999.75,-829706.05,0
antARctica,,16.674975,-83.146655,,0.1,,,,,166749.75,-831466.55,0
antARctica,,16.749975,-83.322705,,0.1,,,,,167499.75,-833227.05,0
antARctica,,16.824975,-83.49873,,0.1,,,,,168249.75,-834987.3,0
antARctica,,16.899975,-83.67478,,0.1,,,,,168999.75,-836747.8,0
antARctica,,16.932275,-83.78833,,0.1,,,,,169322.75,-837883.3,0
antARctica,,16.96455,-83.901855,,0.1,,,,,169645.5,-839018.55,0
antARctica,,16.99685,-84.015405,,0.1,,,,,169968.5,-840154.05,0
antARctica,,17.02915,-84.128955,,0.1,,,,,170291.5,-841289.55,0
antARctica,,17.07915,-84.31748,,0.1,,,,,170791.5,-843174.8,0
antARctica,,17.12915,-84.50603,,0.1,,,,,171291.5,-845060.3,0
antARctica,,17.17915,-84.69458,,0.1,,,,,171791.5,-846945.8,0
antARctica,,17.22915,-84.883105,,0.1,,,,,172291.5,-848831.05,0
antARctica,,17.2569575,-84.9950925,,0.1,,,,,172569.575,-849950.925,0
antARctica,,17.3202875,-85.253955,,0.1,,,,,173202.875,-852539.55,0
antARctica,,17.3890875,-85.5440425,,0.1,,,,,173890.875,-855440.425,0
antARctica,,17.4333,-85.74978,,0.1,,,,,174333,-857497.8,0
antARctica,,17.4736075,-85.9776375,,0.1,,,,,174736.075,-859776.375,0
antARctica,,17.5338375,-86.31643,,0.1,,,,,175338.375,-863164.3,0
antARctica,,17.588575,-86.623975,,0.1,,,,,175885.75,-866239.75,0
antARctica,,17.612475,-86.758105,,0.1,,,,,176124.75,-867581.05,0
antARctica,,17.65205,-86.951855,,0.1,,,,,176520.5,-869518.55,0
antARctica,,17.69165,-87.145605,,0.1,,,,,176916.5,-871456.05,0
antARctica,,17.73125,-87.339355,,0.1,,,,,177312.5,-873393.55,0
antARctica,,17.770825,-87.53308,,0.1,,,,,177708.25,-875330.8,0
antARctica,,17.801025,-87.6726575,,0.1,,,,,178010.25,-876726.575,0
antARctica,,17.83125,-87.812255,,0.1,,,,,178312.5,-878122.55,0
antARctica,,17.86145,-87.95183,,0.1,,,,,178614.5,-879518.3,0
antARctica,,17.89165,-88.0914075,,0.1,,,,,178916.5,-880914.075,0
antARctica,,17.933325,-88.2789075,,0.1,,,,,179333.25,-882789.075,0
antARctica,,17.975,-88.4664075,,0.1,,,,,179750,-884664.075,0
antARctica,,18.01665,-88.6539075,,0.1,,,,,180166.5,-886539.075,0
antARctica,,18.058325,-88.8414075,,0.1,,,,,180583.25,-888414.075,0
antARctica,,18.094775,-88.96538,,0.1,,,,,180947.75,-889653.8,0
antARctica,,18.13125,-89.08933,,0.1,,,,,181312.5,-890893.3,0
antARctica,,18.1677,-89.2132825,,0.1,,,,,181677,-892132.825,0
antARctica,,18.20415,-89.337255,,0.1,,,,,182041.5,-893372.55,0
antARctica,,18.244775,-89.537255,,0.1,,,,,182447.75,-895372.55,0
antARctica,,18.2854,-89.737255,,0.1,,,,,182854,-897372.55,0
antARctica,,18.326025,-89.937255,,0.1,,,,,183260.25,-899372.55,0
antARctica,,18.36665,-90.137255,,0.1,,,,,183666.5,-901372.55,0
antARctica,,18.3927,-90.281005,,0.1,,,,,183927,-902810.05,0
antARctica,,18.41875,-90.424755,,0.1,,,,,184187.5,-904247.55,0
antARctica,,18.444775,-90.568505,,0.1,,,,,184447.75,-905685.05,0
antARctica,,18.470825,-90.7122325,,0.1,,,,,184708.25,-907122.325,0
antARctica,,13.20017,-72.3495975,,0.1,,,,,132001.7,-723495.975,0
antARctica,,13.1811525,-72.417895,,0.1,,,,,131811.525,-724178.95,0
antARctica,,13.1386975,-72.5771975,,0.1,,,,,131386.975,-725771.975,0
antARctica,,13.0946775,-72.759155,,0.1,,,,,130946.775,-727591.55,0
antARctica,,13.070995,-72.8954225,,0.1,,,,,130709.95,-728954.225,0
antARctica,,13.06162,-73.0458975,,0.1,,,,,130616.2,-730458.975,0
antARctica,,13.04912,-73.2644175,,0.1,,,,,130491.2,-732644.175,0
antARctica,,13.0381825,-73.47351,,0.1,,,,,130381.825,-734735.1,0
antARctica,,13.033495,-73.5957025,,0.1,,,,,130334.95,-735957.025,0
antARctica,,13.0582025,-73.7416375,,0.1,,,,,130582.025,-737416.375,0
antARctica,,13.116015,-74.004835,,0.1,,,,,131160.15,-740048.35,0
antARctica,,13.18247,-74.2821525,,0.1,,,,,131824.7,-742821.525,0
antARctica,,13.233155,-74.4704225,,0.1,,,,,132331.55,-744704.225,0
antARctica,,13.2955325,-74.64873,,0.1,,,,,132955.325,-746487.3,0
antARctica,,13.39021,-74.9055175,,0.1,,,,,133902.1,-749055.175,0
antARctica,,13.482495,-75.1516475,,0.1,,,,,134824.95,-751516.475,0
antARctica,,13.5376475,-75.2980225,,0.1,,,,,135376.475,-752980.225,0
antARctica,,13.64065,-75.5061525,,0.1,,,,,136406.5,-755061.525,0
antARctica,,13.83711,-75.882215,,0.1,,,,,138371.1,-758822.15,0
antARctica,,14.0332525,-76.2540775,,0.1,,,,,140332.525,-762540.775,0
antARctica,,14.135255,-76.44961,,0.1,,,,,141352.55,-764496.1,0
antARctica,,14.15349,-76.4881475,,0.1,,,,,141534.9,-764881.475,0
antARctica,,14.162865,-76.507935,,0.1,,,,,141628.65,-765079.35,0
antARctica,,14.1663325,-76.515235,,0.1,,,,,141663.325,-765152.35,0
